anchor,positive,negative
"Kamu suka masak apa buat temen?","Masakan apa yang biasa kamu sajikan buat temen?","Hari ini udah nulis apa belum?"
"Ada ga film horor yang bikin merinding?","Film horor apa yang bikin takut?","Kamu suka ngobrolin apa sama temen?"
"Kamu lebih suka musim panas atau hujan?","Pilih musim panas atau musim hujan?","Makanan apa yang bikin mood bagus?"
"Pernah ga sih salah kirim chat?","Kamu pernah salah kirim pesan ga?","Kamu suka hiking ke mana?"
"Kamu suka nulis apa di buku harian?","Apa yang biasa kamu tulis di jurnal?","Ada rekomendasi kafe ga?"
"Ada ga makanan pedas yang kamu suka?","Makanan pedas apa yang jadi favorit?","Kamu suka main game apa di HP?"
"Kamu suka nonton konser siapa?","Konser artis mana yang pengen kamu tonton?","Hari ini udah baca berita apa?"
"Pernah ga coba hobi yang bikin deg-degan?","Hobi apa yang bikin adrenalin naik?","Makanan apa yang bikin kenyang lama?"
"Kamu suka ngedengerin musik apa?","Genre musik apa yang kamu suka?","Kamu lebih suka buah atau sayur?"
"Ada ga tempat wisata yang bikin kangen?","Tempat wisata apa yang pengen kamu kunjungi lagi?","Kamu suka nari apa?"
"Kamu suka main kartu apa?","Permainan kartu apa yang kamu suka?","Makanan apa yang cocok buat piknik?"
"Pernah ga sih lupa nama temen?","Kamu pernah lupa nama orang ga?","Kamu suka nonton dokumenter apa?"
"Kamu suka ngobrolin apa sama keluarga?","Topik apa yang asik dibahas sama keluarga?","Ada rekomendasi serial TV ga?"
"Ada ga lelucon yang bikin kamu ngakak?","Joke apa yang bikin kamu ketawa keras?","Kamu suka yoga atau gym?"
"Kamu suka belanja di mana?","Tempat belanja favorit kamu apa?","Makanan apa yang bikin ngantuk?"
"Pernah ga sih nyanyi lagu yang salah lirik?","Kamu pernah salah nyanyi lirik ga?","Kamu suka main catur atau monopoli?"
"Kamu suka nonton film apa di bioskop?","Film apa yang enak ditonton di bioskop?","Hari ini udah jalan berapa langkah?"
"Ada ga kafe yang vibes-nya asik?","Kafe apa yang suasananya keren?","Kamu suka koleksi apa?"
"Kamu suka berenang di laut atau kolam?","Lebih suka renang di laut atau kolam?","Makanan apa yang bikin nostalgia?"
"Pernah ga coba makanan yang super aneh?","Makanan paling unik yang pernah kamu coba apa?","Kamu suka nulis puisi apa?"
"Kamu suka dengerin podcast apa?","Podcast apa yang lagi kamu ikutin?","Hari ini udah makan buah belum?"
"Ada ga hobi yang bikin kamu lupa waktu?","Hobi apa yang bikin kamu keasyikan?","Kamu suka nonton sunset di mana?"
"Kamu suka main game online apa?","Game online apa yang lagi kamu mainin?","Makanan apa yang cocok buat sarapan?"
"Pernah ga sih ketawa gara-gara meme?","Meme apa yang bikin kamu ngakak?","Kamu suka naik gunung atau pantai?"
"Kamu suka nari apa pas lagi sendirian?","Tarian apa yang kamu lakuin kalo lagi sendiri?","Ada rekomendasi film animasi ga?"
"Ada ga lagu yang bikin kamu pengen joget?","Lagu apa yang bikin kamu pengen nari?","Kamu suka masak apa buat sarapan?"
"Kamu suka ngeliat bintang di mana?","Tempat apa yang asik buat lihat bintang?","Makanan apa yang bikin kangen rumah?"
"Pernah ga sih bikin video TikTok?","Kamu pernah bikin konten TikTok ga?","Kamu suka main alat musik apa?"
"Kamu suka nulis cerita apa?","Jenis cerita apa yang kamu suka tulis?","Hari ini udah minum teh belum?"
"Ada ga tempat makan yang baru buka?","Restoran baru apa yang lagi hits?","Kamu suka nonton pertandingan apa?"
"Kamu suka pakai aplikasi apa buat edit foto?","Aplikasi edit foto apa yang kamu suka?","Makanan apa yang bikin ngiler?"
"Pernah ga sih lupa hari apa sekarang?","Kamu pernah lupa hari ini hari apa ga?","Kamu suka nyanyi lagu apa?"
"Kamu suka main di taman atau pantai?","Lebih suka main di taman atau pantai?","Ada rekomendasi buku komik ga?"
"Ada ga film yang bikin kamu nangis?","Film apa yang bikin kamu mewek?","Kamu suka masak apa buat temen?"
"Kamu suka ngerjain teka-teki apa?","Teka-teki apa yang kamu suka pecahin?","Hari ini udah makan sayur belum?"
"Pernah ga sih mimpi yang super aneh?","Kamu pernah mimpi apa yang absurd?","Kamu suka ngopi di mana?"
"Kamu suka ngobrolin apa sama temen?","Topik apa yang asik dibahas sama temen?","Makanan apa yang cocok buat ngemil?"
"Ada ga lagu yang bikin kamu kangen?","Lagu apa yang bikin kamu nostalgia?","Kamu suka main game apa di PC?"
"Kamu suka jalan-jalan malam di mana?","Tempat apa yang asik buat jalan malam?","Pernah coba masakan apa yang susah?"
"Kamu suka nonton YouTube channel apa?","Channel YouTube apa yang kamu suka?","Makanan apa yang bikin mood naik?"
"Pernah ga sih bikin kue yang gagal?","Kamu pernah gagal bikin kue ga?","Kamu suka olahraga apa?"
"Kamu suka baca komik apa?","Komik apa yang lagi kamu baca?","Hari ini udah jalan-jalan belum?"
"Ada ga tempat piknik yang asik?","Tempat piknik apa yang keren?","Kamu suka nyanyi lagu apa?"
"Kamu suka main board game apa?","Board game apa yang kamu suka mainin?","Makanan apa yang bikin kangen masa kecil?"
"Pernah ga sih lupa nama lagu?","Kamu pernah lupa judul lagu ga?","Kamu suka nonton film apa?"
"Kamu suka ngedengerin radio apa?","Stasiun radio apa yang kamu suka?","Hari ini udah makan berapa kali?"
"Ada ga kafe yang punya live music?","Kafe apa yang ada musik live-nya?","Kamu suka main alat musik apa?"
"Kamu suka nulis apa di sosial media?","Apa yang biasa kamu posting di sosmed?","Makanan apa yang cocok buat sarapan?"
"Pernah ga sih ketawa sampe sesak?","Kamu pernah ngakak sampe susah napas ga?","Kamu suka jalan-jalan ke mana?"
"Kamu suka nonton acara TV apa?","Acara TV apa yang kamu suka?","Hari ini udah minum kopi belum?"
"Ada ga tempat wisata yang murah?","Tempat wisata apa yang hemat budget?","Kamu suka masak apa buat keluarga?"
"Kamu suka main game apa sama temen?","Game apa yang asik dimainin bareng temen?","Makanan apa yang bikin ngantuk?"
"Pernah ga sih salah sebut nama orang?","Kamu pernah salah manggil nama ga?","Kamu suka nari apa?"
"Kamu suka ngobrolin film apa?","Film apa yang asik dibahas?","Hari ini udah olahraga belum?"
"Ada ga lagu yang bikin kamu rileks?","Lagu apa yang bikin kamu tenang?","Kamu suka koleksi apa?"
"Kamu suka jalan-jalan pake apa?","Lebih suka jalan kaki atau naik sepeda?","Makanan apa yang bikin kenyang?"
"Pernah ga sih lupa lirik lagu?","Kamu pernah lupa lirik pas nyanyi ga?","Kamu suka nonton dokumenter apa?"
"Kamu suka ngerjain puzzle apa?","Puzzle apa yang kamu suka mainin?","Hari ini udah makan buah apa?"
"Ada ga tempat nongkrong yang Instagramable?","Tempat hangout apa yang kece buat foto?","Kamu suka nyanyi lagu apa?"
"Kamu suka main di air atau di darat?","Lebih suka main di air atau darat?","Makanan apa yang bikin nostalgia?"
"Pernah ga sih bikin prank ke temen?","Kamu pernah ngerjain temen ga?","Kamu suka masak apa buat sarapan?"
"Kamu suka nonton film animasi apa?","Film animasi apa yang kamu suka?","Hari ini udah jalan berapa langkah?"
"Ada ga lagu yang bikin kamu pengen nyanyi?","Lagu apa yang bikin kamu pengen karaoke?","Kamu suka main alat musik apa?"
"Kamu suka ngobrolin apa pas kumpul?","Topik apa yang asik pas ngumpul?","Makanan apa yang cocok buat piknik?"
"Pernah ga sih ketawa gara-gara typo?","Kamu pernah ngakak gara-gara salah ketik ga?","Kamu suka nari apa?"
"Kamu suka jalan-jalan sore di mana?","Tempat apa yang asik buat jalan sore?","Hari ini udah minum teh belum?"
"Ada ga tempat makan yang punya view bagus?","Restoran apa yang pemandangannya keren?","Kamu suka main game apa?"
"Kamu suka pakai aplikasi apa buat musik?","Aplikasi musik apa yang kamu suka?","Makanan apa yang bikin mood bagus?"
"Pernah ga sih lupa nama artis?","Kamu pernah lupa nama penyanyi ga?","Kamu suka nonton olahraga apa?"
"Kamu suka main di hutan atau pantai?","Lebih suka main di hutan atau pantai?","Hari ini udah baca buku belum?"
"Ada ga film yang bikin kamu takut?","Film apa yang bikin kamu ngeri?","Kamu suka masak apa buat temen?"
"Kamu suka ngerjain kuis apa?","Kuis apa yang kamu suka ikutin?","Makanan apa yang cocok buat ngemil?"
"Pernah ga sih mimpi yang bikin bingung?","Kamu pernah mimpi apa yang aneh?","Kamu suka ngopi di mana?"
"Kamu suka ngobrolin apa sama sahabat?","Topik apa yang asik dibahas sama bestie?","Hari ini udah olahraga belum?"
"Ada ga lagu yang bikin kamu pengen nari?","Lagu apa yang bikin kamu joget?","Kamu suka koleksi apa?"
"Kamu suka jalan-jalan pagi di mana?","Tempat apa yang asik buat jalan pagi?","Makanan apa yang bikin kangen?"
"Pernah ga sih salah denger lirik lagu?","Kamu pernah salah denger lirik ga?","Kamu suka nonton film apa?"
"Kamu suka ngerjain teka-teki silang?","Teka-teki silang apa yang kamu suka?","Hari ini udah makan sayur belum?"
"Ada ga tempat wisata yang bikin betah?","Tempat wisata apa yang bikin pengen balik?","Kamu suka nyanyi lagu apa?"
"Kamu suka main kartu apa sama keluarga?","Permainan kartu apa yang asik bareng keluarga?","Makanan apa yang bikin ngiler?"
"Pernah ga sih ketawa gara-gara iklan?","Kamu pernah ngakak gara-gara iklan ga?","Kamu suka jalan-jalan ke mana?"
"Kamu suka nonton reality show apa?","Reality show apa yang kamu suka?","Hari ini udah minum kopi belum?"
"Ada ga tempat piknik yang punya danau?","Tempat piknik apa yang ada danaunya?","Kamu suka masak apa buat sarapan?"
"Kamu suka main game apa di konsol?","Game konsol apa yang kamu suka?","Makanan apa yang cocok buat malam?"
"Pernah ga sih lupa nama film?","Kamu pernah lupa judul film ga?","Kamu suka nari apa?"
"Kamu suka ngobrolin apa pas makan?","Topik apa yang asik dibahas pas makan?","Hari ini udah jalan-jalan belum?"
"Ada ga lagu yang bikin kamu sedih?","Lagu apa yang bikin kamu mellow?","Kamu suka main alat musik apa?"
"Kamu suka jalan-jalan ke kota apa?","Kota apa yang asik buat jalan-jalan?","Makanan apa yang bikin kenyang?"
"Pernah ga sih bikin video lucu?","Kamu pernah bikin video yang ngakak ga?","Kamu suka nonton dokumenter apa?"
"Kamu suka ngerjain sudoku apa?","Sudoku apa yang kamu suka mainin?","Hari ini udah makan buah belum?"
"Ada ga kafe yang punya tema unik?","Kafe apa yang temanya kece?","Kamu suka nyanyi lagu apa?"
"Kamu suka main di gunung atau laut?","Lebih suka main di gunung atau laut?","Makanan apa yang bikin nostalgia?"
"Pernah ga sih ketawa gara-gara mimpi?","Kamu pernah ngakak gara-gara mimpi ga?","Kamu suka masak apa buat temen?"
"Kamu suka nonton film apa pas hujan?","Film apa yang asik ditonton pas hujan?","Hari ini udah jalan berapa langkah?"
"Ada ga lagu yang bikin kamu pengen jalan?","Lagu apa yang bikin kamu pengen traveling?","Kamu suka main alat musik apa?"
"Kamu suka ngobrolin apa sama tetangga?","Topik apa yang asik dibahas sama tetangga?","Makanan apa yang cocok buat piknik?"
"Pernah ga sih salah kirim email?","Kamu pernah salah kirim email ga?","Kamu suka nari apa?"
"Kamu suka jalan-jalan malam di mana?","Tempat apa yang asik buat jalan malam?","Hari ini udah minum teh belum?"
"Ada ga tempat makan yang punya live cooking?","Restoran apa yang ada live cooking-nya?","Kamu suka main game apa?"
"Kamu suka pakai aplikasi apa buat video?","Aplikasi edit video apa yang kamu suka?","Makanan apa yang bikin mood bagus?"
"Pernah ga sih lupa nama temen sekolah?","Kamu pernah lupa nama temen lama ga?","Kamu suka nonton olahraga apa?"
"Kamu suka main di taman atau hutan?","Lebih suka main di taman atau hutan?","Hari ini udah baca buku belum?"
"Ada ga film yang bikin kamu ketawa?","Film apa yang bikin kamu ngakak?","Kamu suka masak apa buat keluarga?"
"Kamu suka ngerjain kuis online apa?","Kuis online apa yang kamu suka?","Makanan apa yang cocok buat ngemil?"
"Pernah ga sih mimpi yang bikin takut?","Kamu pernah mimpi apa yang seram?","Kamu suka ngopi di mana?"
"Kamu suka ngobrolin apa sama pacar?","Topik apa yang asik dibahas sama pacar?","Hari ini udah olahraga belum?"
"Ada ga lagu yang bikin kamu pengen nyanyi?","Lagu apa yang bikin kamu pengen karaoke?","Kamu suka koleksi apa?"
"Kamu suka jalan-jalan pagi di mana?","Tempat apa yang asik buat jalan pagi?","Makanan apa yang bikin kangen?"
"Pernah ga sih salah denger nama orang?","Kamu pernah salah denger nama ga?","Kamu suka nonton film apa?"
"Kamu suka ngerjain teka-teki apa?","Teka-teki apa yang kamu suka pecahin?","Hari ini udah makan sayur belum?"
"Ada ga tempat wisata yang bikin kagum?","Tempat wisata apa yang bikin takjub?","Kamu suka nyanyi lagu apa?"
"Kamu suka main kartu apa sama temen?","Permainan kartu apa yang asik bareng temen?","Makanan apa yang bikin ngiler?"
"Pernah ga sih ketawa gara-gara video?","Kamu pernah ngakak gara-gara video ga?","Kamu suka jalan-jalan ke mana?"
"Kamu suka nonton talk show apa?","Talk show apa yang kamu suka?","Hari ini udah minum kopi belum?"
"Ada ga tempat piknik yang punya view bagus?","Tempat piknik apa yang pemandangannya keren?","Kamu suka masak apa buat sarapan?"
"Kamu suka main game apa di tablet?","Game tablet apa yang kamu suka?","Makanan apa yang cocok buat malam?"
"Pernah ga sih lupa nama kafe?","Kamu pernah lupa nama tempat nongkrong ga?","Kamu suka nari apa?"
"Kamu suka ngobrolin apa pas libur?","Topik apa yang asik dibahas pas libur?","Hari ini udah jalan-jalan belum?"
"Ada ga lagu yang bikin kamu tenang?","Lagu apa yang bikin kamu rileks?","Kamu suka main alat musik apa?"
"Kamu suka jalan-jalan ke desa apa?","Desa apa yang asik buat jalan-jalan?","Makanan apa yang bikin kenyang?"
"Pernah ga sih bikin meme lucu?","Kamu pernah bikin meme yang ngakak ga?","Kamu suka nonton dokumenter apa?"
"Kamu suka ngerjain kuis trivia apa?","Kuis trivia apa yang kamu suka?","Hari ini udah makan buah belum?"
"Ada ga kafe yang punya dekorasi unik?","Kafe apa yang dekorasinya kece?","Kamu suka nyanyi lagu apa?"
"Kamu suka main di danau atau laut?","Lebih suka main di danau atau laut?","Makanan apa yang bikin nostalgia?"
"Pernah ga sih ketawa gara-gara joke temen?","Kamu pernah ngakak gara-gara lelucon temen ga?","Kamu suka masak apa buat temen?"
"Kamu suka nonton film apa pas malam?","Film apa yang asik ditonton malam?","Hari ini udah jalan berapa langkah?"
"Ada ga lagu yang bikin kamu pengen jalan-jalan?","Lagu apa yang bikin kamu pengen liburan?","Kamu suka main alat musik apa?"
"Kamu suka ngobrolin apa sama adik?","Topik apa yang asik dibahas sama adik?","Makanan apa yang cocok buat piknik?"
"Pernah ga sih salah kirim stiker?","Kamu pernah salah kirim stiker ga?","Kamu suka nari apa?"
"Kamu suka jalan-jalan sore di mana?","Tempat apa yang asik buat jalan sore?","Hari ini udah minum teh belum?"
"Ada ga tempat makan yang punya menu unik?","Restoran apa yang menunya kece?","Kamu suka main game apa?"
"Kamu suka pakai aplikasi apa buat chat?","Aplikasi chat apa yang kamu suka?","Makanan apa yang bikin mood bagus?"
"Pernah ga sih lupa nama lagu favorit?","Kamu pernah lupa judul lagu kesukaan ga?","Kamu suka nonton olahraga apa?"
"Kamu suka main di hutan atau taman?","Lebih suka main di hutan atau taman?","Hari ini udah baca buku belum?"
"Ada ga film yang bikin kamu pengen nonton ulang?","Film apa yang bikin kamu pengen rewatch?","Kamu suka masak apa buat keluarga?"
"Kamu suka ngerjain kuis kepribadian apa?","Kuis kepribadian apa yang kamu suka?","Makanan apa yang cocok buat ngemil?"
"Pernah ga sih mimpi yang bikin ketawa?","Kamu pernah mimpi apa yang lucu?","Kamu suka ngopi di mana?"
"Kamu suka ngobrolin apa sama kakak?","Topik apa yang asik dibahas sama kakak?","Hari ini udah olahraga belum?"
"Ada ga lagu yang bikin kamu pengen nulis?","Lagu apa yang bikin kamu pengen nulis?","Kamu suka koleksi apa?"
"Kamu suka jalan-jalan pagi di mana?","Tempat apa yang asik buat jalan pagi?","Makanan apa yang bikin kangen?"
"Pernah ga sih salah denger nama lagu?","Kamu pernah salah denger judul lagu ga?","Kamu suka nonton film apa?"
"Kamu suka ngerjain teka-teki logika?","Teka-teki logika apa yang kamu suka?","Hari ini udah makan sayur belum?"
"Ada ga tempat wisata yang bikin rileks?","Tempat wisata apa yang bikin tenang?","Kamu suka nyanyi lagu apa?"
"Kamu suka main kartu apa sama pacar?","Permainan kartu apa yang asik bareng pacar?","Makanan apa yang bikin ngiler?"
"Pernah ga sih ketawa gara-gara chat?","Kamu pernah ngakak gara-gara pesan ga?","Kamu suka jalan-jalan ke mana?"
"Kamu suka nonton game show apa?","Game show apa yang kamu suka?","Hari ini udah minum kopi belum?"
"Ada ga tempat piknik yang punya hutan?","Tempat piknik apa yang ada hutannya?","Kamu suka masak apa buat sarapan?"
"Kamu suka main game apa di laptop?","Game laptop apa yang kamu suka?","Makanan apa yang cocok buat malam?"
"Pernah ga sih lupa nama restoran?","Kamu pernah lupa nama tempat makan ga?","Kamu suka nari apa?"
"Kamu suka ngobrolin apa pas ulang tahun?","Topik apa yang asik dibahas pas ulang tahun?","Hari ini udah jalan-jalan belum?"
"Ada ga lagu yang bikin kamu pengen nyanyi keras?","Lagu apa yang bikin kamu pengen nyanyi kenceng?","Kamu suka main alat musik apa?"
"Kamu suka jalan-jalan ke pulau apa?","Pulau apa yang asik buat jalan-jalan?","Makanan apa yang bikin kenyang?"
"Pernah ga sih bikin video stop motion?","Kamu pernah bikin video stop motion ga?","Kamu suka nonton dokumenter apa?"
"Kamu suka ngerjain kuis geografi apa?","Kuis geografi apa yang kamu suka?","Hari ini udah makan buah belum?"
"Ada ga kafe yang punya buku bacaan?","Kafe apa yang ada koleksi bukunya?","Kamu suka nyanyi lagu apa?"
"Kamu suka main di sungai atau laut?","Lebih suka main di sungai atau laut?","Makanan apa yang bikin nostalgia?"
"Pernah ga sih ketawa gara-gara tweet?","Kamu pernah ngakak gara-gara tweet ga?","Kamu suka masak apa buat temen?"
"Kamu suka nonton film apa pas libur?","Film apa yang asik ditonton pas libur?","Hari ini udah jalan berapa langkah?"
"Ada ga lagu yang bikin kamu pengen lari?","Lagu apa yang bikin kamu pengen olahraga?","Kamu suka main alat musik apa?"
"Kamu suka ngobrolin apa sama temen kantor?","Topik apa yang asik dibahas sama temen kantor?","Makanan apa yang cocok buat piknik?"
"Pernah ga sih salah kirim pesan suara?","Kamu pernah salah kirim voice note ga?","Kamu suka nari apa?"
"Kamu suka jalan-jalan sore di mana?","Tempat apa yang asik buat jalan sore?","Hari ini udah minum teh belum?"
"Ada ga tempat makan yang punya tema vintage?","Restoran apa yang temanya klasik?","Kamu suka main game apa?"
"Kamu suka pakai aplikasi apa buat bikin meme?","Aplikasi bikin meme apa yang kamu suka?","Makanan apa yang bikin mood bagus?"
"Pernah ga sih lupa nama acara TV?","Kamu pernah lupa nama acara TV ga?","Kamu suka nonton olahraga apa?"
"Kamu suka main di taman atau pantai?","Lebih suka main di taman atau pantai?","Hari ini udah baca buku belum?"
"Ada ga film yang bikin kamu pengen traveling?","Film apa yang bikin kamu pengen jalan-jalan?","Kamu suka masak apa buat keluarga?"
"Kamu suka ngerjain kuis sejarah apa?","Kuis sejarah apa yang kamu suka?","Makanan apa yang cocok buat ngemil?"
"Pernah ga sih mimpi yang bikin kaget?","Kamu pernah mimpi apa yang bikin kaget?","Kamu suka ngopi di mana?"
"Kamu suka ngobrolin apa sama temen kuliah?","Topik apa yang asik dibahas sama temen kuliah?","Hari ini udah olahraga belum?"
"Ada ga lagu yang bikin kamu pengen bikin video?","Lagu apa yang bikin kamu pengen bikin konten?","Kamu suka koleksi apa?"
"Kamu suka jalan-jalan pagi di mana?","Tempat apa yang asik buat jalan pagi?","Makanan apa yang bikin kangen?"
"Pernah ga sih salah denger nama film?","Kamu pernah salah denger judul film ga?","Kamu suka nonton film apa?"
"Kamu suka ngerjain teka-teki matematika?","Teka-teki matematika apa yang kamu suka?","Hari ini udah makan sayur belum?"
"Ada ga tempat wisata yang bikin tenang?","Tempat wisata apa yang bikin damai?","Kamu suka nyanyi lagu apa?"
"Kamu suka main kartu apa sama saudara?","Permainan kartu apa yang asik bareng saudara?","Makanan apa yang bikin ngiler?"
"Pernah ga sih ketawa gara-gara status?","Kamu pernah ngakak gara-gara status ga?","Kamu suka jalan-jalan ke mana?"
"Kamu suka nonton acara masak apa?","Acara masak apa yang kamu suka?","Hari ini udah minum kopi belum?"
"Ada ga tempat piknik yang punya air terjun?","Tempat piknik apa yang ada air terjunnya?","Kamu suka masak apa buat sarapan?"
"Kamu suka main game apa di smartphone?","Game smartphone apa yang kamu suka?","Makanan apa yang cocok buat malam?"
"Pernah ga sih lupa nama lagu hits?","Kamu pernah lupa judul lagu populer ga?","Kamu suka nari apa?"
"Kamu suka ngobrolin apa pas kumpul keluarga?","Topik apa yang asik dibahas pas kumpul keluarga?","Hari ini udah jalan-jalan belum?"
"Ada ga lagu yang bikin kamu pengen joget?","Lagu apa yang bikin kamu pengen nari?","Kamu suka main alat musik apa?"
"Kamu suka jalan-jalan ke gunung apa?","Gunung apa yang asik buat jalan-jalan?","Makanan apa yang bikin kenyang?"
"Pernah ga sih bikin video time lapse?","Kamu pernah bikin video time lapse ga?","Kamu suka nonton dokumenter apa?"
"Kamu suka ngerjain kuis sains apa?","Kuis sains apa yang kamu suka?","Hari ini udah makan buah belum?"
"Ada ga kafe yang punya tema alam?","Kafe apa yang temanya natural?","Kamu suka nyanyi lagu apa?"
"Kamu suka main di pantai atau sungai?","Lebih suka main di pantai atau sungai?","Makanan apa yang bikin nostalgia?"
"Pernah ga sih ketawa gara-gara podcast?","Kamu pernah ngakak gara-gara podcast ga?","Kamu suka masak apa buat temen?"
"Kamu suka nonton film apa pas weekend?","Film apa yang asik ditonton pas weekend?","Hari ini udah jalan berapa langkah?"
"Ada ga lagu yang bikin kamu pengen bikin cerita?","Lagu apa yang bikin kamu pengen nulis cerita?","Kamu suka main alat musik apa?"
"Kamu suka ngobrolin apa sama temen lama?","Topik apa yang asik dibahas sama temen lama?","Makanan apa yang cocok buat piknik?"
"Pernah ga sih salah kirim foto?","Kamu pernah salah kirim foto ga?","Kamu suka nari apa?"
"Kamu suka jalan-jalan sore di mana?","Tempat apa yang asik buat jalan sore?","Hari ini udah minum teh belum?"
"Ada ga tempat makan yang punya tema modern?","Restoran apa yang temanya kekinian?","Kamu suka main game apa?"
"Kamu suka pakai aplikasi apa buat bikin musik?","Aplikasi bikin musik apa yang kamu suka?","Makanan apa yang bikin mood bagus?"
"Pernah ga sih lupa nama penyanyi favorit?","Kamu pernah lupa nama penyanyi kesukaan ga?","Kamu suka nonton olahraga apa?"
"Kamu suka main di taman atau hutan?","Lebih suka main di taman atau hutan?","Hari ini udah baca buku belum?"
"Ada ga film yang bikin kamu pengen bikin film?","Film apa yang bikin kamu pengen jadi sutradara?","Kamu suka masak apa buat keluarga?"
"Kamu suka ngerjain kuis pop culture apa?","Kuis pop culture apa yang kamu suka?","Makanan apa yang cocok buat ngemil?"
"Pernah ga sih mimpi yang bikin penasaran?","Kamu pernah mimpi apa yang bikin kepo?","Kamu suka ngopi di mana?"
"Kamu suka ngobrolin apa sama temen sekolah?","Topik apa yang asik dibahas sama temen sekolah?","Hari ini udah olahraga belum?"
"Ada ga lagu yang bikin kamu pengen bikin puisi?","Lagu apa yang bikin kamu pengen nulis puisi?","Kamu suka koleksi apa?"
"Kamu suka jalan-jalan pagi di mana?","Tempat apa yang asik buat jalan pagi?","Makanan apa yang bikin kangen?"
"Pernah ga sih salah denger nama kafe?","Kamu pernah salah denger nama kafe ga?","Kamu suka nonton film apa?"
