anchor,positive,negative
"Motor ga bisa nyala, padahal bensin penuh.","Kenapa motor ga mau hidup meski bensin ada?","Apa fungsi crankshaft pada mesin?"
"Radiator mobil bocor, air netes di bawah.","Kenapa radiator mobil bocor?","Bagaimana cara mengganti busi mobil?"
"Motor bunyi aneh dari rem, kayak gesekan besi.","Ada suara decit dari rem motor, kenapa?","Apa itu sistem transmisi otomatis?"
"Lampu utama mobil redup banget, ga terang lagi.","Kenapa lampu mobil ga terang seperti biasa?","Berapa harga filter udara motor?"
"Motor ga stabil pas ngebut, goyang ke kiri-kanan.","Kenapa motor oleng pas kecepatan tinggi?","Apa fungsi catalytic converter pada mobil?"
"Mobil bau seperti karet terbakar, apa itu bahaya?","Kenapa ada bau karet gosong dari mobil?","Bagaimana cara merawat sistem kelistrikan motor?"
"Aki motor cepet soak, baru sebulan udah lelet.","Kenapa aki motor cepet habis daya?","Apa itu sistem pengapian transistor?"
"Transmisi mobil selip, ga smooth pas pindah gigi.","Kenapa perpindahan gigi mobil ga halus?","Berapa biaya servis karburator motor?"
"Motor susah distarter, harus injak berkali-kali.","Kenapa motor susah dinyalakan?","Apa fungsi piston pada mesin?"
"Mobil geter pas jalan pelan, apa mesinnya bermasalah?","Kenapa mobil bergetar pas melaju pelan?","Bagaimana cara mengganti oli gardan mobil?"
"Rem motor bunyi cit-cit tiap narik tuas.","Ada suara aneh dari rem motor, kenapa?","Apa itu sistem pengereman ABS?"
"Lampu indikator mobil nyala, tanda oli rendah.","Kenapa lampu oli mobil menyala?","Berapa harga ban motor ukuran 14 inch?"
"Motor keluar asap putih dari knalpot, apa itu normal?","Kenapa knalpot motor mengeluarkan asap putih?","Apa fungsi camshaft pada mesin?"
"Power steering mobil bunyi, kayak mendengung.","Ada suara aneh dari power steering, kenapa?","Bagaimana cara merawat sistem suspensi motor?"
"Motor ga bertenaga pas nanjak, lelet banget.","Kenapa motor kurang tenaga pas tanjakan?","Apa itu sistem transmisi manual?"
"Mobil bunyi aneh dari ban, kayak ada batu nyangkut.","Ada suara dari ban mobil, apa penyebabnya?","Berapa biaya ganti kampas kopling mobil?"
"Chain motor bunyi kletek-kletek, apa perlu ganti?","Kenapa rantai motor berbunyi aneh?","Apa fungsi throttle body pada motor?"
"AC mobil cuma dingin sebentar, abis itu panas lagi.","Kenapa AC mobil ga dingin lama?","Bagaimana cara membersihkan filter AC mobil?"
"Motor mati sendiri pas lagi pelan di lampu merah.","Kenapa motor mati mendadak pas berhenti?","Apa itu sistem pengapian konvensional?"
"Suspensi mobil bunyi krek-krek pas lewat lubang.","Ada suara aneh dari suspensi mobil, kenapa?","Berapa harga shockbreaker mobil?"
"Motor bensinnya bocor, netes di karburator.","Kenapa bensin motor bocor dari karburator?","Apa fungsi sensor MAP pada mobil?"
"Lampu kabut mobil ga nyala, padahal udah dihidupkan.","Kenapa lampu kabut mobil ga berfungsi?","Bagaimana cara merawat sistem pengereman motor?"
"Motor bunyi ngiung-ngiung dari mesin, apa itu serius?","Ada suara aneh dari mesin motor, kenapa?","Apa itu sistem penggerak AWD?"
"Mobil tarikannya ga stabil, kadang cepet kadang lelet.","Kenapa performa mobil ga konsisten?","Berapa biaya servis injeksi mobil?"
"Rem motor ga nyaman, kayak licin pas narik.","Kenapa rem motor terasa licin?","Apa fungsi catalytic converter pada motor?"
"Dashboard mobil nyala tanda ABS, apa itu bermasalah?","Kenapa lampu ABS mobil menyala?","Bagaimana cara mengganti oli mesin motor?"
"Motor geter parah pas digas, apa businya mati?","Kenapa motor bergetar hebat pas akselerasi?","Apa itu sistem pengereman CBS?"
"Mobil bau aneh dari mesin, kayak oli gosong.","Kenapa ada bau oli terbakar dari mesin mobil?","Berapa harga filter oli mobil?"
"Aki motor ga ngisi, lampu redup banget.","Kenapa aki motor ga terisi daya?","Apa fungsi alternator pada motor?"
"Transmisi mobil bunyi gluduk pas pindah ke gigi mundur.","Ada suara aneh dari transmisi mobil, kenapa?","Bagaimana cara merawat sistem transmisi otomatis?"
"Motor susah nyala pas hujan, apa karburatornya basah?","Kenapa motor susah dinyalakan saat hujan?","Apa itu sistem pengapian CDI?"
"Mobil bunyi aneh dari kolong, kayak besi kendor.","Ada suara dari bawah mobil, apa penyebabnya?","Berapa biaya ganti ban motor?"
"Ban motor bunyi decit pas belok, apa itu normal?","Kenapa ban motor berdecit saat belok?","Apa fungsi sensor kecepatan pada mobil?"
"AC mobil ga nyala sama sekali, cuma bunyi klik.","Kenapa AC mobil ga berfungsi?","Bagaimana cara membersihkan radiator mobil?"
"Motor boros oli, cepet banget habis.","Kenapa oli motor cepet habis?","Apa itu sistem pendingin oli?"
"Stir mobil miring, tarik ke kiri terus.","Kenapa setir mobil cenderung ke kiri?","Berapa harga oli power steering?"
"Mobil bunyi kletuk dari mesin pas nyala pertama.","Kenapa mesin mobil bunyi kletuk pas distarter?","Bagaimana cara merawat ban motor?"
"Motor ngelitik pas digas kenceng, apa itu normal?","Kenapa motor bunyi ngelitik pas ngebut?","Apa fungsi suspensi pada mobil?"
"Rem mobil ga pakem, harus injek dalem banget.","Kenapa rem mobil kurang responsif?","Berapa biaya ganti oli gardan motor?"
"Lampu rem mobil redup, ga terang lagi.","Kenapa lampu rem mobil ga jelas nyalanya?","Bagaimana cara membersihkan velg motor?"
"Motor bunyi berisik dari rantai, apa kendor?","Kenapa rantai motor berisik banget?","Apa itu sistem penggerak belt?"
"AC mobil bunyi kresek-kresek pas nyala.","Kenapa AC mobil ada suara aneh pas dinyalain?","Berapa harga busi motor iridium?"
"Mobil susah masuk gigi satu, kaku banget.","Kenapa gigi satu mobil susah masuk?","Bagaimana cara merawat lampu mobil?"
"Motor ban belakangnya goyang, apa bearingnya rusak?","Kenapa ban belakang motor oleng?","Apa fungsi water pump pada mobil?"
"Knalpot mobil bunyi berderit, apa ada yang lelet?","Kenapa knalpot mobil berisik banget?","Berapa biaya servis karburator motor?"
"Motor ga kuat tarikan awal, lelet jalannya.","Kenapa motor lambat pas mulai jalan?","Apa itu sistem pengereman disc?"
"Stir mobil bunyi pas dibelokin, kayak gesekan.","Kenapa setir mobil berisik pas muter?","Bagaimana cara mengganti filter bensin motor?"
"Mobil mati tiba-tiba pas lagi macet, kenapa ya?","Kenapa mobil mendadak mati di jalan?","Berapa harga oli transmisi mobil?"
"Shock motor depan bunyi kletek pas lelet jalannya.","Kenapa shock depan motor berisik?","Apa fungsi sensor TPS pada motor?"
"AC mobil dinginnya ga rata, satu sisi doang.","Kenapa AC mobil cuma dingin sebelah?","Bagaimana cara merawat knalpot motor?"
"Motor bunyi ketek-ketek pas langsam, apa itu?","Kenapa motor bunyi aneh pas idle?","Apa itu sistem pengapian distributor?"
"Mobil bunyi ngorok dari mesin pas langsam.","Kenapa mesin mobil ngorok pas diam?","Berapa biaya ganti kampas kopling mobil?"
"Rem motor bunyi krek pas ditarik pelan.","Kenapa rem motor ada suara pas narik?","Apa fungsi tensioner pada motor?"
"Lampu mobil kuning banget, ga terang.","Kenapa lampu mobil warnanya buram?","Bagaimana cara membersihkan radiator motor?"
"Motor susah nyala pas mesin dingin, apa sebabnya?","Kenapa motor ga mau nyala kalo dingin?","Apa itu sistem transmisi DSG?"
"Mobil bunyi gluduk dari roda pas ngerem mendadak.","Kenapa roda mobil bunyi pas rem keras?","Berapa harga aki mobil 60 ampere?"
"Chain motor putus tiba-tiba, apa penyebabnya?","Kenapa rantai motor bisa putus?","Bagaimana cara merawat spion mobil?"
"AC mobil cuma nyala bentar, trus mati sendiri.","Kenapa AC mobil mati sendiri?","Apa fungsi kompresor pada mobil?"
"Motor bunyi aneh dari karburator, kayak desis.","Kenapa karburator motor bunyi desis?","Berapa biaya servis suspensi motor?"
"Mobil tarikannya ga smooth, tersendat-sendat.","Kenapa mobil jalannya ga mulus?","Bagaimana cara mengganti filter udara mobil?"
"Rem motor depan ga nyaman, geter pas ditarik.","Kenapa rem depan motor bergetar?","Apa itu sistem penggerak chain?"
"Lampu dashboard mobil nyala tanda rem tangan.","Kenapa lampu rem tangan mobil nyala?","Berapa harga oli mesin motor 10W-40?"
"Motor bunyi klotok-klotok dari mesin pas jalan.","Kenapa mesin motor bunyi klotok?","Apa fungsi oil pump pada mobil?"
"Mobil bunyi kletuk dari bawah pas lelet.","Kenapa ada suara kletuk dari kolong mobil?","Bagaimana cara merawat sistem AC motor?"
"Shock motor keras banget, ga empuk lagi.","Kenapa shock motor terasa kaku?","Apa itu sistem pengapian magnet?"
"AC mobil ga dingin pas macet, cuma pas jalan.","Kenapa AC mobil ga dingin kalo berhenti?","Berapa biaya ganti ban motor ukuran 17?"
"Motor ga stabil pas hujan, ban licin kayaknya.","Kenapa motor oleng kalo hujan?","Apa fungsi sensor crankshaft pada mobil?"
"Mobil bunyi berderik dari sabuk, apa itu V-belt?","Kenapa sabuk mobil bunyi berderik?","Bagaimana cara membersihkan busi motor?"
"Rem motor bunyi pas hujan, ga enak didenger.","Kenapa rem motor berisik kalo basah?","Apa itu sistem transmisi 4-speed?"
"Lampu motor redup pas langsam, trus terang pas gas.","Kenapa lampu motor redup kalo idle?","Berapa harga shockbreaker mobil aftermarket?"
"Mobil susah nyala pas hujan, mesin brebet.","Kenapa mobil brebet kalo hujan?","Bagaimana cara merawat wiper mobil?"
"Motor bunyi aneh dari roda depan, kayak gesekan.","Kenapa roda depan motor berisik?","Apa fungsi clutch pada mobil?"
"AC mobil bunyi gede pas nyala, trus ilang.","Kenapa AC mobil bunyi keras awalnya?","Berapa biaya servis injeksi motor?"
"Mobil bunyi ketuk dari mesin pas nanjak.","Kenapa mesin mobil bunyi pas tanjakan?","Bagaimana cara mengganti oli power steering?"
"Rem motor ga stabil, kadang pakem kadang enggak.","Kenapa rem motor ga konsisten?","Apa itu sistem penggerak shaft?"
"Lampu sein motor bunyi pelan banget, ga kedengeran.","Kenapa suara lampu sein motor lelet?","Berapa harga filter oli motor?"
"Mobil bunyi gluduk dari suspensi pas belok.","Kenapa suspensi mobil bunyi pas muter?","Bagaimana cara merawat rantai motor biar awet?"
"Motor bunyi ngiung pas digas pelan, apa itu?","Kenapa motor bunyi ngiung kalo pelan?","Apa fungsi sensor MAF pada motor?"
"AC mobil bau bensin, apa kebocoran?","Kenapa AC mobil ada bau bensin?","Berapa biaya ganti kampas rem mobil?"
"Mobil tarikannya drop pas AC nyala, kenapa ya?","Kenapa mobil lelet kalo AC dinyalain?","Bagaimana cara membersihkan throttle body motor?"
"Rem motor bunyi kletuk pas narik keras.","Kenapa rem motor bunyi kletuk?","Apa itu sistem pengapian coil-on-plug?"
"Lampu mobil mati sebelah pas hujan, apa masuk air?","Kenapa lampu mobil ga nyala kalo hujan?","Berapa harga oli gardan mobil?"
"Motor bunyi aneh dari knalpot, kayak bocor.","Kenapa knalpot motor bunyi bocor?","Apa fungsi timing chain pada mobil?"
"Mobil bunyi kresek dari dashboard pas jalan.","Kenapa dashboard mobil bunyi kresek?","Bagaimana cara merawat sistem pendingin motor?"
"Shock motor bunyi pas lelet, ga bunyi pas cepet.","Kenapa shock motor bunyi cuma pas pelan?","Apa itu sistem transmisi 6-speed?"
"AC mobil ga nyala pas mesin dingin, kenapa?","Kenapa AC mobil ga jalan kalo mesin dingin?","Berapa biaya servis radiator motor?"
"Motor bunyi klak-klak dari mesin pas langsam.","Kenapa mesin motor bunyi klak-klak?","Apa fungsi flywheel pada mobil?"
"Mobil bunyi ngorok dari AC pas mati.","Kenapa AC mobil bunyi meski dimatiin?","Bagaimana cara mengganti filter kabin mobil?"
"Rem motor ga pakem pas hujan, licin banget.","Kenapa rem motor ga nyaman kalo basah?","Apa itu sistem penggerak timing belt?"
"Lampu motor ga nyala pas hujan, apa korslet?","Kenapa lampu motor mati kalo hujan?","Berapa harga ban mobil tubeless?"
"Mobil bunyi kletuk dari roda pas jalan pelan.","Kenapa roda mobil bunyi kletuk?","Bagaimana cara merawat power window mobil?"
"Motor bunyi aneh dari ban, kayak ada yang geser.","Kenapa ban motor bunyi aneh?","Apa fungsi sensor knock pada motor?"
"AC mobil dingin cuma pas pagi, siang panas.","Kenapa AC mobil ga dingin kalo siang?","Berapa biaya ganti oli mesin mobil?"
"Mobil bunyi berisik dari mesin pas AC nyala.","Kenapa mesin mobil bunyi kalo AC hidup?","Bagaimana cara membersihkan karburator motor?"
"Rem motor bunyi pas jalan pelan, apa piringannya?","Kenapa rem motor bunyi kalo pelan?","Apa itu sistem pengapian CDI AC?"
"Lampu dashboard mobil nyala tanda bensin, padahal penuh.","Kenapa lampu bensin mobil nyala?","Berapa harga shockbreaker motor depan?"
"Motor bunyi ketek dari rantai, apa kendor?","Kenapa rantai motor bunyi ketek?","Apa fungsi water pump pada motor?"
"Mobil bunyi gluduk dari ban pas lelet.","Kenapa ban mobil bunyi gluduk?","Bagaimana cara merawat sistem injeksi mobil?"
"Shock motor bunyi krek pas nanjak, apa patah?","Kenapa shock motor bunyi pas tanjakan?","Apa itu sistem transmisi otomatis CVT?"
"AC mobil bunyi klik-klik pas nyala, apa rusak?","Kenapa AC mobil bunyi klik-klik?","Berapa biaya servis rem motor?"
"Motor bunyi ngorok dari knalpot pas langsam.","Kenapa knalpot motor bunyi ngorok?","Apa fungsi sensor O2 pada motor?"
"Mobil bunyi aneh dari stir pas jalan lurus.","Kenapa stir mobil bunyi kalo lurus?","Bagaimana cara mengganti oli transmisi mobil?"
"Rem motor bunyi gesekan pas ditarik pelan.","Kenapa rem motor bunyi gesekan?","Apa itu sistem penggerak 2WD?"
"Lampu motor bunyi tik-tik pas nyala, apa itu?","Kenapa lampu motor bunyi tik-tik?","Berapa harga filter udara mobil?"
"Mobil bunyi kretek dari mesin pas start dingin.","Kenapa mesin mobil bunyi kretek kalo dingin?","Bagaimana cara merawat ban mobil?"
"Motor bunyi aneh dari kopling, kayak geser.","Kenapa kopling motor bunyi aneh?","Apa fungsi torque converter pada motor?"
"AC mobil ga dingin pas jalan pelan, kenapa?","Kenapa AC mobil cuma dingin kalo cepet?","Berapa biaya ganti aki motor?"
"Mobil bunyi ngiung dari roda pas belok.","Kenapa roda mobil bunyi ngiung?","Bagaimana cara membersihkan filter oli motor?"
"Rem motor bunyi kletuk pas hujan, apa sebabnya?","Kenapa rem motor bunyi kalo basah?","Apa itu sistem pengapian DC?"
"Lampu dashboard mobil nyala tanda pintu, padahal tertutup.","Kenapa lampu pintu mobil nyala?","Berapa harga oli mesin motor sintetik?"
"Motor bunyi klotok dari roda belakang pas jalan.","Kenapa roda belakang motor bunyi klotok?","Apa fungsi differential pada motor?"
"Mobil bunyi krek dari suspensi pas jalan berlubang.","Kenapa suspensi mobil bunyi krek?","Bagaimana cara merawat sistem pengereman mobil?"
"Shock motor bunyi pas lelet, apa oli kurang?","Kenapa shock motor bunyi kalo pelan?","Apa itu sistem transmisi semi-manual?"
"AC mobil bunyi berderit pas dimatiin.","Kenapa AC mobil bunyi kalo dimatikan?","Berapa biaya servis AC motor?"
"Motor bunyi ngiung dari mesin pas nanjak.","Kenapa mesin motor bunyi ngiung pas tanjakan?","Apa fungsi sensor camshaft pada mobil?"
"Mobil bunyi gluduk dari mesin pas gas dilepas.","Kenapa mesin mobil bunyi kalo gas dilepas?","Bagaimana cara mengganti filter bensin mobil?"
"Rem motor bunyi pas narik pelan, apa kampasnya?","Kenapa rem motor bunyi kalo pelan?","Apa itu sistem penggerak hybrid?"
"Lampu motor ga nyala pas mesin dingin, kenapa?","Kenapa lampu motor ga hidup kalo dingin?","Berapa harga ban motor ukuran 14?"
"Mobil bunyi aneh dari AC pas jalan jauh.","Kenapa AC mobil bunyi kalo lama jalan?","Bagaimana cara merawat shockbreaker mobil?"
"Motor bunyi ketuk dari knalpot pas mati.","Kenapa knalpot motor bunyi kalo mati?","Apa fungsi oil cooler pada mobil?"
"AC mobil dingin cuma di tengah, samping ga dingin.","Kenapa AC mobil ga merata dinginnya?","Berapa biaya ganti oli gardan mobil?"
"Mobil bunyi kletuk dari roda pas nanjak.","Kenapa roda mobil bunyi pas tanjakan?","Bagaimana cara membersihkan injektor motor?"
"Rem motor bunyi krek pas hujan, apa kampas basah?","Kenapa rem motor bunyi kalo hujan?","Apa itu sistem pengapian transistor?"
"Lampu dashboard mobil nyala tanda airbag.","Kenapa lampu airbag mobil nyala?","Berapa harga filter oli mobil?"
"Motor bunyi aneh dari rantai pas jalan pelan.","Kenapa rantai motor bunyi kalo pelan?","Apa fungsi catalytic converter pada mobil?"
"Mobil bunyi ngorok dari mesin pas start pagi.","Kenapa mesin mobil bunyi ngorok kalo pagi?","Bagaimana cara merawat power steering motor?"
"Shock motor bunyi gluduk pas lelet jalannya.","Kenapa shock motor bunyi gluduk?","Apa itu sistem transmisi 5-speed?"
"AC mobil bunyi pas mati, kayak ada yang jatuh.","Kenapa AC mobil bunyi kalo dimatiin?","Berapa biaya servis rem mobil?"
"Motor bunyi klak dari mesin pas gas dilepas.","Kenapa mesin motor bunyi kalo gas dilepas?","Apa fungsi sensor speed pada mobil?"
"Mobil bunyi krek dari ban pas jalan lurus.","Kenapa ban mobil bunyi krek?","Bagaimana cara mengganti oli mesin motor?"
"Rem motor bunyi gesekan pas jalan jauh.","Kenapa rem motor bunyi kalo lama jalan?","Apa itu sistem penggerak belt CVT?"
"Lampu motor bunyi tik pas dinyalain, apa rusak?","Kenapa lampu motor bunyi kalo nyala?","Berapa harga aki mobil NS70?"
"Mobil bunyi aneh dari roda pas hujan.","Kenapa roda mobil bunyi kalo hujan?","Bagaimana cara merawat sistem suspensi motor?"
"Motor bunyi ngiung dari knalpot pas jalan pelan.","Kenapa knalpot motor bunyi ngiung?","Apa fungsi throttle valve pada mobil?"
"AC mobil ga dingin pas siang, cuma malam dingin.","Kenapa AC mobil ga dingin kalo siang?","Berapa biaya ganti ban mobil ukuran 15?"
"Mobil bunyi ketuk dari mesin pas jalan jauh.","Kenapa mesin mobil bunyi kalo lama jalan?","Bagaimana cara membersihkan filter AC motor?"
"Rem motor bunyi kletuk pas jalan pelan.","Kenapa rem motor bunyi kletuk kalo pelan?","Apa itu sistem pengapian DLI?"
"Lampu dashboard mobil nyala tanda sabuk pengaman.","Kenapa lampu sabuk mobil nyala?","Berapa harga oli power steering mobil?"
"Motor bunyi aneh dari roda belakang pas hujan.","Kenapa roda belakang motor bunyi kalo basah?","Apa fungsi sensor TPS pada mobil?"
"Mobil bunyi gluduk dari suspensi pas jalan pelan.","Kenapa suspensi mobil bunyi kalo pelan?","Bagaimana cara merawat rantai motor?"
"Shock motor bunyi pas nanjak, apa rusak?","Kenapa shock motor bunyi pas tanjakan?","Apa itu sistem transmisi dual clutch?"
"AC mobil bunyi berisik pas jalan jauh.","Kenapa AC mobil bunyi kalo lama jalan?","Berapa biaya servis injeksi mobil?"
"Motor bunyi klotok dari mesin pas hujan.","Kenapa mesin motor bunyi kalo hujan?","Apa fungsi oil filter pada motor?"
"Mobil bunyi krek dari mesin pas gas diinjek.","Kenapa mesin mobil bunyi kalo gas ditekan?","Bagaimana cara mengganti filter udara motor?"
"Rem motor bunyi pas langsam, apa kampasnya tipis?","Kenapa rem motor bunyi kalo idle?","Apa itu sistem penggerak 4WD?"
"Lampu motor redup pas jalan pelan, kenapa ya?","Kenapa lampu motor ga terang kalo pelan?","Berapa harga ban motor tubeless 17 inch?"
"Mobil bunyi aneh dari ban pas hujan deras.","Kenapa ban mobil bunyi kalo hujan?","Bagaimana cara merawat wiper motor?"
"Motor bunyi ngorok dari karburator pas nyala.","Kenapa karburator motor bunyi kalo nyala?","Apa fungsi clutch plate pada mobil?"
"AC mobil dingin cuma pas cepet, pelan ga dingin.","Kenapa AC mobil ga dingin kalo pelan?","Berapa biaya ganti oli transmisi motor?"
"Mobil bunyi ketuk dari roda pas jalan berlubang.","Kenapa roda mobil bunyi kalo lubang?","Bagaimana cara membersihkan busi mobil?"
"Rem motor bunyi krek pas jalan jauh.","Kenapa rem motor bunyi kalo lama jalan?","Apa itu sistem pengapian CDI DC?"
"Lampu dashboard mobil nyala tanda mesin overheat.","Kenapa lampu overheat mobil nyala?","Berapa harga filter bensin motor?"
"Motor bunyi aneh dari rantai pas hujan.","Kenapa rantai motor bunyi kalo basah?","Apa fungsi catalytic converter pada motor?"
"Mobil bunyi gluduk dari mesin pas jalan pelan.","Kenapa mesin mobil bunyi kalo pelan?","Bagaimana cara merawat power steering mobil?"
