text,intent
saya mau pesan servis buat ganti kampas rem,service_booking
ada jadwal buat perbaikan mobil hari ini?,service_booking
"saya butuh servis motor, kapan kosong?",service_booking
bisa booking servis mobil buat hari Senin?,service_booking
saya mau atur jadwal cek suspensi,service_booking
pesan servis motor untuk hari Kamis!,service_booking
"saya butuh perbaikan mobil, ada waktu besok?",service_booking
bisa booking servis rutin motor minggu ini?,service_booking
saya mau pesan slot buat ganti ban,service_booking
ada waktu buat servis mobil hari Sabtu?,service_booking
saya butuh servis darurat buat motor!,service_booking
bisa atur jadwal cek kelistrikan mobil?,service_booking
saya mau booking servis buat ganti busi,service_booking
pesan slot servis motor untuk hari Jumat!,service_booking
"saya butuh perbaikan AC mobil, kapan bisa?",service_booking
bisa booking servis rutin mobil besok?,service_booking
saya mau atur jadwal cek knalpot motor,service_booking
ada slot buat servis motor hari Minggu?,service_booking
"saya butuh servis mobil cepat, ada waktu?",service_booking
bisa pesan jadwal buat ganti aki motor?,service_booking
saya mau booking servis buat cek radiator,service_booking
pesan servis motor untuk hari Selasa!,service_booking
saya butuh perbaikan transmisi mobil!,service_booking
bisa atur slot servis mobil untuk hari ini?,service_booking
saya mau pesan servis buat cek bearing,service_booking
berapa biaya ganti oli motor matic?,price_inquiry
harga servis mobil Avanza berapa?,price_inquiry
berapa ongkos tune up motor bebek?,price_inquiry
info harga perbaikan rem mobil sedan dong,price_inquiry
berapa biaya benerin AC mobil yang mati?,price_inquiry
biaya ganti kampas rem motor berapa?,price_inquiry
harga servis rutin motor sport?,price_inquiry
ongkos ganti aki mobil berapa ya?,price_inquiry
biaya servis transmisi manual mobil?,price_inquiry
harga perbaikan bodi mobil yang penyok?,price_inquiry
berapa biaya ganti ban motor tubeless?,price_inquiry
harga servis mesin diesel mobil?,price_inquiry
biaya cek suspensi motor yang keras?,price_inquiry
ongkos ganti filter oli motor?,price_inquiry
biaya servis rem cakram motor?,price_inquiry
harga benerin knalpot mobil yang bocor?,price_inquiry
berapa biaya ganti busi iridium motor?,price_inquiry
harga servis AC mobil yang kurang dingin?,price_inquiry
biaya perbaikan radiator motor yang bocor?,price_inquiry
ongkos ganti oli gardan motor?,price_inquiry
biaya servis kopling mobil manual?,price_inquiry
harga cek lampu mobil yang mati?,price_inquiry
berapa biaya ganti bearing roda mobil?,price_inquiry
harga servis power steering yang berat?,price_inquiry
biaya benerin alternator mobil?,price_inquiry
ongkos ganti rantai keteng motor?,price_inquiry
biaya servis differential mobil 4WD?,price_inquiry
harga perbaikan pompa bensin motor?,price_inquiry
berapa biaya ganti shockbreaker motor?,price_inquiry
harga servis pompa air mobil?,price_inquiry
biaya benerin starter motor yang rusak?,price_inquiry
ongkos ganti katalis mobil?,price_inquiry
biaya servis throttle body mobil?,price_inquiry
harga benerin turbo mobil diesel?,price_inquiry
berapa biaya ganti katup EGR mobil?,price_inquiry
harga servis injektor motor?,price_inquiry
biaya perbaikan crankshaft yang aus?,price_inquiry
ongkos ganti piston motor 2-tak?,price_inquiry
biaya servis camshaft mobil?,price_inquiry
harga benerin cylinder head yang bocor?,price_inquiry
berapa biaya ganti valve motor?,price_inquiry
harga servis rantai timing mobil?,price_inquiry
biaya perbaikan panci oli mobil?,price_inquiry
ongkos ganti filter bensin motor?,price_inquiry
biaya servis filter udara mobil?,price_inquiry
harga benerin fuel filter yang mampet?,price_inquiry
berapa biaya ganti filter kabin mobil?,price_inquiry
harga servis busi mobil tua?,price_inquiry
biaya benerin koil motor yang mati?,price_inquiry
ongkos servis dinamo starter mobil?,price_inquiry
kenapa rem mobilku bunyi berdecit?,complaint
mesin motor mati tiba-tiba di jalan,complaint
mobilku susah nyala pagi hari,complaint
ban motor kok cepet banget kempes?,complaint
setir mobilku bergetar kenceng,complaint
motor mogok pas hujan deras,complaint
"mobil ga mau nyala, akinya lelet",complaint
AC mobil cuma keluar angin doang,complaint
lampu motor redup banget malem ini,complaint
ada bunyi kretek dari mesin mobil,complaint
transmisi mobilku ngadat pas ngegas,complaint
kelistrikan motor mati total,complaint
suspensi mobil bunyi gluduk-gluduk,complaint
knalpot motor berasap hitam,complaint
radiator mobilku netes air terus,complaint
busi motor cepet banget mati,complaint
bearing roda mobil bunyi ngorok,complaint
power steering mobilku macet,complaint
alternator mobil ga ngisi aki,complaint
rantai keteng motor bunyi kletak-kletak,complaint
differential mobil bunyi aneh pas belok,complaint
pompa bensin motor ga nyala,complaint
shockbreaker motor bocor oli,complaint
"pompa air mobil mati, panas banget",complaint
starter motor cuma bunyi cetak-cetek,complaint
"katalis mobil buntu, tenaga drop",complaint
"throttle body mobil kotor, tarikan lelet",complaint
turbo mobil bunyi siul keras,complaint
katup EGR mobil bikin mesin brebet,complaint
"injektor motor mampet, bensin boros",complaint
crankshaft mobil bunyi ketok-ketok,complaint
"piston motor aus, asap putih keluar",complaint
camshaft mobil bikin suara aneh,complaint
"cylinder head motor retak, oli rembes",complaint
"valve motor bengkok, mesin pincang",complaint
"rantai timing mobil kendor, timing off",complaint
"panci oli mobil bocor, oli abis",complaint
"filter bensin motor buntu, mesin mati",complaint
"filter udara mobil kotor, tarikan berat",complaint
"fuel filter mampet, mobil brebet",complaint
"filter kabin mobil bau, AC ga seger",complaint
"busi motor mati satu, getar banget",complaint
"koil motor rusak, ga ada percikan",complaint
"starter motor macet, ga muter",complaint
"kopling motor selip, ga enak ganti gigi",complaint
"rantai motor kendor, bunyi berisik",complaint
"kampas rem motor habis, rem blong",complaint
"ban mobil aus, licin di jalan basah",complaint
"aki motor drop, klakson ga bunyi",complaint
"spion mobil goyang, ga bisa lihat belakang",complaint
"makasih ya, bro!",goodbye
sampai jumpa di bengkel!,goodbye
"oke, ntar aku balik lagi",goodbye
"baik, aku tunggu kabar dari bengkel",goodbye
"terima kasih, mekanik hebat!",goodbye
"dadah, sampai ketemu lagi!",goodbye
"bye, kendaraanku udah oke!",goodbye
"sampai nanti, bro!",goodbye
"terima kasih banget, puas banget!",goodbye
"sampai ketemu, motornya udah mulus!",goodbye
"makasih, aku bakal rekomendasiin bengkelmu",goodbye
"selamat malam, terima kasih ya!",goodbye
"oke, aku kabarin temenku tentang bengkel ini",goodbye
"baik, aku kasih bintang lima!",goodbye
"terima kasih, mobilku jadi nyaman lagi",goodbye
"dadah, aku balik lagi minggu depan!",goodbye
"bye, seneng banget hasilnya!",goodbye
"sampai nanti, aku bakal cerita ke temen!",goodbye
"makasih banyak, bengkelmu top!",goodbye
"sampai ketemu, aku bakal kasih review bagus!",goodbye
"terima kasih, aku jadi langganan nih!",goodbye
"selamat malam, puas banget sama servisnya!",goodbye
"oke, aku bakal balik buat servis rutin",goodbye
"baik, aku ceritain ke komunitas motor!",goodbye
"makasih, bengkelmu bikin hari ini lancar",goodbye
"dadah, sampai jumpa di servis berikutnya!",goodbye
"bye, aku bakal kasih testimoni positif!",goodbye
"sampai nanti, mobilku udah kinclong!",goodbye
"terima kasih banget, bro, mantap!",goodbye
"sampai ketemu, bengkelmu jadi andalan!",goodbye
"makasih, aku bakal ajak temen kesini!",goodbye
"selamat malam, hasilnya melebihi ekspektasi!",goodbye
"oke, aku bakal promosiin bengkelmu!",goodbye
"baik, aku kasih rating tinggi di apps!",goodbye
"terima kasih, motornya jadi kenceng lagi!",goodbye
"dadah, aku balik buat ganti oli!",goodbye
"bye, bengkelmu bikin aku seneng!",goodbye
"sampai nanti, aku bakal cerita ke keluarga!",goodbye
"makasih banyak, hasilnya cakep banget!",goodbye
"sampai ketemu, aku jadi pelanggan setia!",goodbye
"terima kasih, aku bakal share pengalamanku!",goodbye
"selamat malam, bengkelmu juara!",goodbye
"oke, aku bakal balik buat cek rutin!",goodbye
"baik, aku kasih ulasan bintang lima!",goodbye
"makasih, pelayanannya ramah banget!",goodbye
"dadah, aku ajak temen buat servis disini!",goodbye
"bye, bengkelmu bikin aku takjub!",goodbye
"sampai nanti, aku bakal promosiin ke temen!",goodbye
"terima kasih banget, hasilnya keren!",goodbye
"sampai ketemu, bengkelmu nomor satu!",goodbye
berapa suhu di bulan hari ini?,fallback
siapa gubernur Jakarta sekarang?,fallback
aku pengen makan bakso,fallback
kamu suka nonton film horor?,fallback
berapa skor MotoGP kemarin?,fallback
"apa warna kesukaanmu, biru atau merah?",fallback
kapan hari ulang tahun bengkelmu?,fallback
apa hobi mekanik disini?,fallback
siapa nama istri mekaniknya?,fallback
kamu kerja apa selain mekanik?,fallback
hari ini kamu ngapain aja?,fallback
tadi pagi kamu sarapan apa?,fallback
kamu suka hujan apa panas?,fallback
kamu ga suka apa di bengkel?,fallback
kamu pengen libur kapan?,fallback
kamu butuh apa sekarang?,fallback
kamu nyanyi lagu apa tadi?,fallback
kamu inget nomor teleponku ga?,fallback
kamu lupa apa hari ini?,fallback
kamu belajar apa di bengkel?,fallback
kamu ngajarin apa ke mekanik baru?,fallback
kamu denger berita apa?,fallback
kamu lihat apa di jalan tadi?,fallback
kamu ngerasa apa hari ini?,fallback
kamu mikir apa sekarang?,fallback
kamu lagi ngapain selain bales aku?,fallback
kamu bilang apa ke bos tadi?,fallback
kamu nulis apa di buku?,fallback
kamu baca apa di koran?,fallback
kamu nonton apa di TV semalem?,fallback
kamu main apa pas kecil?,fallback
kamu beli apa di warung tadi?,fallback
kamu jual apa selain servis?,fallback
kamu kasih apa ke temenmu?,fallback
kamu dapet apa dari pelanggan?,fallback
kamu mau ke mana abis ini?,fallback
kamu punya apa di garasi?,fallback
kamu pengen apa dari aku?,fallback
kamu cari apa di toolbox?,fallback
kamu inget apa dari kemaren?,fallback
kamu lupa apa pas servis tadi?,fallback
kamu pelajari apa dari mobilku?,fallback
kamu ajarin apa ke anakmu?,fallback
kamu denger apa dari mesin tadi?,fallback
kamu lihat apa di bawah mobil?,fallback
kamu ngerasa apa pas hujan?,fallback
kamu mikir apa tentang cuaca?,fallback
kamu ngapain pas weekend?,fallback
kamu bilang apa ke istri tadi?,fallback
kamu tulis apa di catatan servis?,fallback
"Halo bro, mau booking servis motor nih!",start_booking
"Saya ingin booking servis mobil, bisa?",start_booking
"Oke, ayo atur jadwal servis motor gue!",start_booking
"Mau booking servis, kapan slotnya kosong?",start_booking
"Bro, bisa bantu booking servis matic?",start_booking
"Halo, mau booking buat cek mesin mobil!",start_booking
"Saya pengen booking servis rutin, bro!",start_booking
"Hey, mau atur servis motor, bisa bantu?",start_booking
"Booking servis motor matic dong, bro!",start_booking
"Halo, mau booking servis buat mobil gue!",start_booking
"Saya ingin booking servis, ada slot besok?",start_booking
"Bro, ayo booking servis motor sport!",start_booking
"Mau booking buat cek rem motor, kapan ya?",start_booking
"Halo, bisa atur servis mobil cepet ga?",start_booking
"Saya pengen booking servis, bro, kapan oke?",start_booking
"Hey, mau booking servis rutin motor!",start_booking
"Booking servis mobil dong, bro, kapan bisa?",start_booking
"Halo, mau booking buat ganti oli motor!",start_booking
"Saya ingin booking servis, ada waktu luang?",start_booking
"Bro, booking servis motor matic yuk!",start_booking
Mau booking servis buat cek aki mobil!,start_booking
"Halo, bisa bantu booking servis besok?",start_booking
Saya pengen booking buat servis motor sport!,start_booking
"Hey, mau booking servis, slotnya ada ga?",start_booking
"Booking servis mobil, bro, kapan pas?",start_booking
"Halo, mau booking buat cek suspensi motor!",start_booking
"Saya ingin booking servis rutin, bisa cepet?",start_booking
"Bro, ayo booking servis buat motor gue!",start_booking
"Mau booking servis mobil, ada slot minggu?",start_booking
"Halo, bisa atur servis motor matic ga?",start_booking
"Saya pengen booking servis, kapan free?",start_booking
"Hey, mau booking buat cek mesin motor!",start_booking
"Booking servis mobil dong, bro, cepet ya!",start_booking
"Halo, mau booking servis buat ganti ban!",start_booking
"Saya ingin booking servis, besok bisa ga?",start_booking
"Bro, booking servis motor sport sekarang!",start_booking
"Mau booking buat cek rem mobil, kapan oke?",start_booking
"Halo, bisa bantu booking servis rutin?",start_booking
"Saya pengen booking servis, bro, hari apa?",start_booking
"Hey, mau booking servis matic, slot ada?",start_booking
"Booking servis mobil, kapan bisa bro?",start_booking
"Halo, mau booking buat cek oli motor!",start_booking
"Saya ingin booking servis, ada slot sore?",start_booking
"Bro, ayo booking servis buat motor matic!",start_booking
"Mau booking servis mobil, besok pagi oke?",start_booking
"Halo, bisa atur servis motor sport ga?",start_booking
Saya pengen booking buat cek aki motor!,start_booking
"Hey, mau booking servis, kapan kosong?",start_booking
"Booking servis mobil rutin, bro, bisa?",start_booking
"Halo, mau booking buat ganti kampas rem!",start_booking
"Saya ingin booking servis, hari ini bisa?",start_booking
Besok tanggal 20 Mei 2025 ya!,provide_booking_date
Saya mau booking buat hari Sabtu ini!,provide_booking_date
"Tanggal 21 Mei oke ga, bro?",provide_booking_date
"Booking buat hari Jumat, 23 Mei!",provide_booking_date
"Hari Minggu, 25 Mei, bisa servis?",provide_booking_date
Saya mau tanggal 22 Mei 2025!,provide_booking_date
"Besok lusa, 21 Mei, slot ada?",provide_booking_date
"Tanggal 24 Mei, bro, bisa ga?",provide_booking_date
"Hari Kamis, 22 Mei, oke buat servis!",provide_booking_date
Saya pengen booking buat 26 Mei!,provide_booking_date
"Tanggal 20 Mei sore, bisa ga?",provide_booking_date
"Hari Rabu, 21 Mei, slot kosong?",provide_booking_date
"Booking buat 25 Mei, bro, oke?",provide_booking_date
"Tanggal 23 Mei pagi, bisa servis!",provide_booking_date
"Saya mau hari Senin, 26 Mei!",provide_booking_date
"Tanggal 27 Mei, ada slot ga?",provide_booking_date
"Hari Selasa, 20 Mei, oke bro!",provide_booking_date
"Booking buat 22 Mei, slot ada?",provide_booking_date
"Tanggal 24 Mei pagi, bisa ga?",provide_booking_date
"Saya pengen 21 Mei sore, bro!",provide_booking_date
"Hari Jumat, 23 Mei, slot kosong?",provide_booking_date
"Tanggal 25 Mei, servis bisa ga?",provide_booking_date
"Booking buat 26 Mei pagi, oke!",provide_booking_date
"Tanggal 20 Mei, bro, ada slot?",provide_booking_date
"Hari Minggu, 25 Mei, bisa servis!",provide_booking_date
Saya mau tanggal 22 Mei pagi!,provide_booking_date
"Tanggal 21 Mei sore, slot ada?",provide_booking_date
"Booking buat 23 Mei, bro, oke?",provide_booking_date
"Hari Kamis, 22 Mei, bisa ga?",provide_booking_date
"Tanggal 24 Mei sore, servis oke!",provide_booking_date
"Saya pengen 26 Mei pagi, bro!",provide_booking_date
"Hari Rabu, 21 Mei, slot ada?",provide_booking_date
"Tanggal 25 Mei sore, bisa ga?",provide_booking_date
"Booking buat 27 Mei, oke bro!",provide_booking_date
"Tanggal 20 Mei pagi, slot kosong?",provide_booking_date
"Hari Senin, 26 Mei, servis bisa!",provide_booking_date
Saya mau tanggal 23 Mei sore!,provide_booking_date
"Tanggal 22 Mei pagi, oke ga?",provide_booking_date
"Booking buat 24 Mei, slot ada?",provide_booking_date
"Hari Selasa, 20 Mei, bisa servis!",provide_booking_date
"Tanggal 21 Mei, bro, oke ga?",provide_booking_date
"Saya pengen 25 Mei pagi, slot ada?",provide_booking_date
"Hari Jumat, 23 Mei, servis oke!",provide_booking_date
"Tanggal 26 Mei sore, bisa ga?",provide_booking_date
"Booking buat 22 Mei sore, oke!",provide_booking_date
"Tanggal 20 Mei, slot pagi ada?",provide_booking_date
"Hari Minggu, 25 Mei, slot kosong?",provide_booking_date
Saya mau tanggal 21 Mei pagi!,provide_booking_date
"Tanggal 24 Mei sore, oke bro!",provide_booking_date
"Booking buat 23 Mei pagi, bisa?",provide_booking_date
"Hari Kamis, 22 Mei, slot ada?",provide_booking_date
"Pagi jam 9 ya, bro!",provide_booking_time
"Saya mau jam 10 pagi, oke?",provide_booking_time
"Jam 2 siang, slot ada ga?",provide_booking_time
Booking buat jam 11 pagi!,provide_booking_time
"Sore jam 4, bisa servis?",provide_booking_time
Saya pengen jam 8 pagi!,provide_booking_time
"Jam 3 sore, oke ga, bro?",provide_booking_time
"Pagi jam 10.30, slot kosong?",provide_booking_time
"Jam 5 sore, bisa ga?",provide_booking_time
Saya mau jam 9.30 pagi!,provide_booking_time
"Jam 1 siang, servis oke?",provide_booking_time
Booking buat jam 4 sore!,provide_booking_time
"Jam 8 pagi, bro, bisa ga?",provide_booking_time
"Sore jam 3.30, slot ada?",provide_booking_time
Saya pengen jam 11.30 pagi!,provide_booking_time
"Jam 2.30 siang, oke bro!",provide_booking_time
"Pagi jam 9.15, slot kosong?",provide_booking_time
"Jam 4.30 sore, bisa servis?",provide_booking_time
"Saya mau jam 10 pagi, bro!",provide_booking_time
"Jam 5.30 sore, oke ga?",provide_booking_time
Booking buat jam 12 siang!,provide_booking_time
"Jam 8.30 pagi, slot ada?",provide_booking_time
"Sore jam 3, servis bisa ga?",provide_booking_time
"Saya pengen jam 9 pagi, bro!",provide_booking_time
"Jam 1.30 siang, oke ga?",provide_booking_time
"Pagi jam 10, slot kosong?",provide_booking_time
"Jam 4 sore, bro, bisa ga?",provide_booking_time
"Saya mau jam 11 pagi, oke?",provide_booking_time
"Jam 2 siang, servis oke bro!",provide_booking_time
Booking buat jam 5 sore!,provide_booking_time
"Jam 8 pagi, slot ada ga?",provide_booking_time
"Sore jam 3.15, oke ga?",provide_booking_time
Saya pengen jam 9.30 pagi!,provide_booking_time
"Jam 4.15 sore, slot kosong?",provide_booking_time
"Pagi jam 10.45, bisa servis?",provide_booking_time
"Jam 12.30 siang, oke bro!",provide_booking_time
"Saya mau jam 3 sore, bro!",provide_booking_time
"Jam 8.15 pagi, slot ada?",provide_booking_time
"Sore jam 5, servis oke ga?",provide_booking_time
Booking buat jam 11.15 pagi!,provide_booking_time
"Jam 2.15 siang, oke bro!",provide_booking_time
"Pagi jam 9.45, slot kosong?",provide_booking_time
"Jam 4.45 sore, bisa ga?",provide_booking_time
Saya pengen jam 10.30 pagi!,provide_booking_time
"Jam 3.45 sore, oke ga?",provide_booking_time
"Jam 1 siang, slot ada bro!",provide_booking_time
Saya mau jam 8.45 pagi!,provide_booking_time
"Sore jam 4.30, servis oke?",provide_booking_time
"Pagi jam 9.30, bro, bisa?",provide_booking_time
"Jam 5.15 sore, slot kosong?",provide_booking_time
Saya pengen jam 11.45 pagi!,provide_booking_time
"Motor matic, bro, bisa servis!",provide_vehicle_type
"Saya punya motor sport, oke?",provide_vehicle_type
"Moped, kapan bisa diservis?",provide_vehicle_type
"Motor bebek, slot ada ga?",provide_vehicle_type
Saya mau servis motor matic!,provide_vehicle_type
"Motor sport, bro, cek apa?",provide_vehicle_type
"Moped, bisa servis besok?",provide_vehicle_type
"Motor bebek, oke ga, bro?",provide_vehicle_type
"Saya punya motor matic, slot ada?",provide_vehicle_type
"Motor sport, kapan kosong?",provide_vehicle_type
"Moped, servis rutin oke ga?",provide_vehicle_type
"Motor bebek, bro, bisa cepet?",provide_vehicle_type
"Saya mau servis matic, bro!",provide_vehicle_type
"Motor sport, cek rem oke?",provide_vehicle_type
"Moped, slot sore ada ga?",provide_vehicle_type
"Motor bebek, servis apa aja?",provide_vehicle_type
"Saya punya matic, kapan bisa?",provide_vehicle_type
"Motor sport, bro, slot pagi?",provide_vehicle_type
"Moped, cek mesin oke ga?",provide_vehicle_type
"Motor bebek, bisa servis cepet?",provide_vehicle_type
"Saya mau matic, slot ada bro!",provide_vehicle_type
"Motor sport, servis rutin ya!",provide_vehicle_type
"Moped, kapan oke buat servis?",provide_vehicle_type
"Motor bebek, slot kosong ga?",provide_vehicle_type
"Saya punya motor matic, oke?",provide_vehicle_type
"Motor sport, cek oli bro!",provide_vehicle_type
"Moped, servis sore bisa ga?",provide_vehicle_type
"Motor bebek, kapan slot ada?",provide_vehicle_type
"Saya mau servis matic, cepet!",provide_vehicle_type
"Motor sport, slot pagi oke?",provide_vehicle_type
"Moped, cek aki bisa ga?",provide_vehicle_type
"Motor bebek, servis apa bro?",provide_vehicle_type
"Saya punya matic, slot sore?",provide_vehicle_type
"Motor sport, kapan bisa servis?",provide_vehicle_type
"Moped, cek rem oke ga?",provide_vehicle_type
"Motor bebek, slot ada bro!",provide_vehicle_type
"Saya mau matic, servis rutin!",provide_vehicle_type
"Motor sport, cek mesin bro!",provide_vehicle_type
"Moped, slot pagi kosong ga?",provide_vehicle_type
"Motor bebek, servis cepet oke?",provide_vehicle_type
"Saya punya motor matic, slot?",provide_vehicle_type
"Motor sport, servis apa aja?",provide_vehicle_type
"Moped, kapan oke buat cek?",provide_vehicle_type
"Motor bebek, slot sore ada?",provide_vehicle_type
"Saya mau matic, bro, oke ga?",provide_vehicle_type
"Motor sport, cek ban bisa?",provide_vehicle_type
"Moped, servis rutin bro!",provide_vehicle_type
"Motor bebek, kapan kosong?",provide_vehicle_type
"Saya punya matic, cek oli!",provide_vehicle_type
"Motor sport, slot ada ga?",provide_vehicle_type
"Motor bebek, servis pagi oke?",provide_vehicle_type
"Honda Beat, bro, bisa servis!",provide_vehicle_model
"Saya punya Yamaha NMax, oke?",provide_vehicle_model
"Suzuki Satria, kapan diservis?",provide_vehicle_model
"Kawasaki Ninja, slot ada ga?",provide_vehicle_model
"Honda Vario, servis rutin ya!",provide_vehicle_model
"Yamaha Mio, bro, cek apa?",provide_vehicle_model
"Suzuki Address, bisa besok?",provide_vehicle_model
"Kawasaki Z250, oke ga, bro?",provide_vehicle_model
"Honda PCX, slot ada ga?",provide_vehicle_model
"Yamaha Aerox, kapan kosong?",provide_vehicle_model
"Suzuki Smash, servis oke ga?",provide_vehicle_model
"Honda CBR, bro, bisa cepet?",provide_vehicle_model
"Yamaha Jupiter, cek rem oke?",provide_vehicle_model
"Suzuki Nex, slot sore ada?",provide_vehicle_model
"Kawasaki KLX, servis apa aja?",provide_vehicle_model
"Honda Scoopy, kapan bisa?",provide_vehicle_model
"Yamaha XMax, bro, slot pagi?",provide_vehicle_model
"Suzuki Spin, cek mesin oke?",provide_vehicle_model
"Honda Genio, bisa servis cepet?",provide_vehicle_model
"Yamaha Fino, slot ada bro!",provide_vehicle_model
"Suzuki Hayate, servis rutin ya!",provide_vehicle_model
"Kawasaki Versys, kapan oke?",provide_vehicle_model
"Honda Supra, slot kosong ga?",provide_vehicle_model
"Yamaha Vega, cek oli bro!",provide_vehicle_model
"Suzuki Shogun, servis sore ga?",provide_vehicle_model
"Kawasaki W175, kapan slot ada?",provide_vehicle_model
"Honda ADV, servis apa bro?",provide_vehicle_model
"Yamaha Soul, slot sore ada?",provide_vehicle_model
"Suzuki Skydrive, kapan servis?",provide_vehicle_model
"Honda Revo, cek ban bisa?",provide_vehicle_model
"Yamaha Lexi, servis rutin bro!",provide_vehicle_model
"Suzuki Thunder, slot pagi ga?",provide_vehicle_model
"Kawasaki D-Tracker, servis oke?",provide_vehicle_model
"Honda CB150R, slot ada bro!",provide_vehicle_model
"Yamaha Vixion, cek mesin bro!",provide_vehicle_model
"Suzuki GSX, slot pagi kosong?",provide_vehicle_model
"Honda CRF, servis cepet oke?",provide_vehicle_model
"Yamaha Byson, slot ada ga?",provide_vehicle_model
"Suzuki Burgman, servis pagi?",provide_vehicle_model
"Kawasaki ER6n, cek oli bro!",provide_vehicle_model
"Honda Sonic, slot sore ada?",provide_vehicle_model
"Yamaha R15, servis rutin oke?",provide_vehicle_model
"Suzuki Inazuma, kapan kosong?",provide_vehicle_model
"Honda Tiger, cek rem bro!",provide_vehicle_model
"Yamaha R25, slot pagi ada?",provide_vehicle_model
"Suzuki Gixxer, servis apa aja?",provide_vehicle_model
"Kawasaki ZX25R, slot ada ga?",provide_vehicle_model
"Honda Forza, cek aki bro!",provide_vehicle_model
"Yamaha MT15, servis sore oke?",provide_vehicle_model
"Suzuki V-Strom, slot kosong?",provide_vehicle_model
"Honda Spacy, kapan bisa servis?",provide_vehicle_model
"Iya bro, bookingnya bener!",confirm_booking
"Ya, konfirmasi booking oke!",confirm_booking
"Betul, gue setuju booking itu!",confirm_booking
"Iya, jadwalnya pas, konfirm!",confirm_booking
"Oke bro, booking dikonfirmasi!",confirm_booking
"Ya, tanggal itu bener, lanjut!",confirm_booking
"Konfirmasi bro, booking fix!",confirm_booking
"Iya, slotnya cocok, oke!",confirm_booking
"Betul, bookingnya gue setuju!",confirm_booking
"Ya bro, konfirmasi jadwal itu!",confirm_booking
"Oke, bookingnya sudah pas!",confirm_booking
"Iya, tanggal dan jamnya oke!",confirm_booking
"Konfirmasi, bro, lanjut ya!",confirm_booking
"Ya, booking itu bener, fix!",confirm_booking
"Betul bro, gue konfirmasi!",confirm_booking
"Iya, jadwalnya cocok, oke!",confirm_booking
"Oke bro, booking dikonfirm!",confirm_booking
