vehicle_type,problem_description,diagnosis,first_aid,second_aid,third_aid
mobil,AC mobil kurang adem,Kompresor AC rusak,"Dengerin apa ada suara dari kompresor pas AC dinyalain. Kalo gak ada, kompresornya mungkin rusak.","Cek kopling kompresor apa muter. Kalo gak muter, cek fuse atau relay kompresor.","Kalau kompresor bermasalah, ganti sama yang baru di bengkel."
motor,Mesin motor geter banget,Mounting mesin longgar,"Cek mounting mesin apa ada yang goyang atau aus. Kencengin baut mounting kalo longgar.","Kalau mountingnya udah aus, ganti sama yang baru.","Kalau geterannya tetep ada, cek balancing mesin atau bagian dalamnya."
mobil,Rem mobil bunyi citcit,Kampas rem tipis,"Cek ketebalan kampas rem. Kalo udah tipis, ganti kampas rem baru.","Kalo kampas masih tebel, cek apa ada kotoran di kampas. Bersihin kalo kotor.","Kalau bunyi tetep ada, cek cakram rem apa ada goresan atau aus."
mobil,Rem mobil berdecit,Cakram rem bengkok,"Cek cakram rem apa ada goresan atau bengkok. Ratahin atau ganti cakram kalo perlu.","Kalau cakram oke, cek kaliper rem apa ada bocor atau macet.","Bawa ke bengkel buat cek dan perbaiki rem."
motor,Lampu motor gak terang,Aki lelet,"Cek voltase aki pake multimeter. Kalo di bawah 12V, akinya kurang daya.","Coba charge aki atau jalanin motor biar ngisi daya.","Kalau aki sering lelet, ganti sama aki baru."
motor,Lampu motor redup,Regulator rectifier rusak,"Cek output regulator rectifier. Harusnya stabil di 13.5-14.5V pas mesin nyala.","Kalau outputnya gak stabil, ganti regulator rectifier.","Kalau masalah tetep ada, cek stator atau kelistrikan lain."
mobil,Mesin mobil mati tiba-tiba,Sensor crankshaft ngaco,"Cek apa ada kode error di ECU. Kalo ada kode sensor crankshaft, ganti sensornya.","Kalau gak ada kode error, cek kabel sama konektor sensor crankshaft.","Bawa ke bengkel buat diagnosis lebih lanjut."
mobil,Mesin mobil mati dadakan,Pompa bensin mati,"Cek apa pompa bensin nyala pas kunci kontak diputer. Kalo gak nyala, pompanya mati.","Ketuk pompa bensin pelan sambil coba nyalain mesin.","Kalau pompa tetep mati, ganti pompa bensin di bengkel."
motor,Mesin motor kepanasan,Kipas radiator mati,"Cek kipas radiator nyala apa enggak pas mesin panas. Kalo gak nyala, kipasnya mati.","Cek fuse kipas radiator. Ganti kalo putus.","Kalau fuse oke, cek motor kipas atau relay kipas."
mobil,Suspensi mobil bunyi gluduk,Shockbreaker aus,"Cek shockbreaker apa ada bocor oli. Kalo iya, shockbreaker udah aus.","Ganti shockbreaker sama yang baru.","Kalau shockbreaker oke, cek bushing atau bagian suspensi lain."
motor,Rantai motor putus,Rantai udah aus,"Cek rantai apa ada tanda aus atau karat. Ganti rantai kalo udah aus.","Pastikan sprocket juga masih bagus. Ganti kalo aus.","Kasih pelumas rantai rutin biar gak cepet aus."
mobil,Knalpot mobil asap putih,Paking kepala silinder bocor,"Cek apa ada bocor oli atau air pendingin di mesin. Kalo iya, pakingnya bocor.","Bawa ke bengkel buat ganti paking kepala silinder.","Kalau paking oke, cek apa ada retak di blok mesin."
mobil,Knalpot mobil asap item,Campuran bensin kebanyakan,"Cek filter udara apa kotor. Bersihin atau ganti filter udara.","Kalau filter udara oke, cek sensor oksigen atau injektor bensin.","Bawa ke bengkel buat cek ECU sama sistem injeksi."
motor,Mesin motor bunyi ketukan,Rantai timing longgar,"Cek kekencangan rantai timing. Kencengin kalo longgar.","Kalau rantai timing aus, ganti sama yang baru.","Kalau bunyi tetep ada, cek bagian dalam mesin."
mobil,Setir mobil geter,Ban gak balance,"Cek apa ban aus gak rata. Balance ban di bengkel.","Kalau ban udah balance, cek apa peleknya rusak. Ganti pelek kalo rusak.","Kalau pelek oke, cek alignment roda."
mobil,Setir mobil goyang,Rem cakram bengkok,"Cek cakram rem apa ada goresan atau bengkok. Ratahin atau ganti cakram.","Kalau cakram oke, cek kaliper rem apa macet.","Bawa ke bengkel buat perbaiki rem."
motor,Mesin motor susah masuk gigi,Kopling slip,"Cek apa kopling slip. Atur kabel kopling kalo longgar.","Kalau kabel kopling oke, cek pelat kopling apa aus. Ganti kalo aus.","Kalau pelat kopling oke, cek oli mesin apa sesuai spesifikasi."
mobil,Mesin mobil bunyi ngorok,Filter udara kotor,"Cek filter udara apa kotor. Bersihin atau ganti filter udara.","Kalau filter udara bersih, cek apa ada bocor di intake manifold.","Kalau ada bocor, tambal atau ganti intake manifold."
mobil,Mesin mobil bunyi aneh,Injektor bocor,"Cek apa ada bau bensin di mesin. Kalo iya, injektor bocor.","Bersihin atau ganti injektor yang bocor.","Kalau injektor oke, cek tekanan bensin."
motor,Lampu motor mati sebelah,Bohlam putus,"Cek bohlam lampu apa putus. Ganti bohlam kalo putus.","Kalau bohlam oke, cek kabel sama soket lampu apa ada yang putus.","Kalau kabel oke, cek switch lampu apa jalan."
mobil,AC mobil bau apek,Filter kabin kotor,"Cek filter kabin apa kotor. Bersihin atau ganti filter kabin.","Kalau filter kabin bersih, cek evaporator AC apa ada jamur. Bersihin pake cairan pembersih AC.","Kalau bau tetep ada, bawa ke bengkel buat bersihin sistem AC."
mobil,Rem mobil blong,Minyak rem abis,"Cek level minyak rem. Tambahin minyak rem yang sesuai kalo kurang.","Kalau minyak rem cepet abis, cek apa ada bocor di sistem rem. Tambal kalo ketemu.","Bawa ke bengkel buat perbaiki sistem rem."
motor,Mesin motor mati pas digas,Karburator banjir,"Cek karburator apa banjir. Tutup kran bensin trus keringin karburator.","Kalau karburator kering, cek pelampung karburator apa macet. Atur pelampung.","Kalau pelampung oke, cek jarum pelampung apa aus. Ganti kalo aus."
mobil,Mesin mobil geter pas idle,Busi kotor,"Cabut busi trus cek apa kotor. Bersihin busi pake sikat kawat.","Kalau busi bersih, cek celah busi. Atur celah sesuai spesifikasi.","Kalau geter tetep ada, cek mounting mesin apa longgar."
mobil,Mesin mobil goyang pas diam,Filter udara tersumbat,"Cek filter udara apa tersumbat. Bersihin atau ganti filter udara.","Kalau filter udara bersih, cek throttle body apa kotor. Bersihin throttle body.","Kalau geter masih ada, cek sensor idle atau ECU."
motor,Rantai motor bunyi kletuk,Rantai aus,"Cek rantai apa ada tanda aus atau karat. Ganti rantai kalo aus.","Pastikan sprocket gak aus. Ganti sprocket kalo perlu.","Kasih pelumas rantai khusus secara rutin."
mobil,Lampu dashboard nyala tanda check engine,Sensor oksigen rusak,"Sambungin OBD scanner buat baca kode error. Kalo kode sensor oksigen, ganti sensornya.","Kalau gak ada OBD scanner, cek apa bensin boros. Bersihin sensor oksigen.","Bawa ke bengkel buat diagnosis sama perbaikan."
mobil,Lampu dashboard nyala tanda mesin,ECU bermasalah,"Cek apa ada kode error di ECU. Reset ECU dengan lepas aki bentar.","Kalau lampu nyala lagi, cek kabel sama konektor ECU.","Bawa ke bengkel buat cek ECU."
motor,Mesin motor bunyi ngorok,Karburator kotor,"Bersihin karburator pake cairan pembersih khusus. Pastiin gak ada sumbatan.","Kalau karburator bersih, cek setelan karburator. Atur campuran udara sama bensin.","Kalau bunyi tetep ada, cek filter udara atau pengapian."
mobil,Setir mobil tarik ke kiri,Ban kurang angin,"Cek tekanan angin ban. Isi angin kalo kurang sesuai spesifikasi.","Kalau tekanan ban normal, cek apa ban aus gak rata. Ganti ban kalo aus.","Kalau setir masih tarik, cek alignment roda."
mobil,Setir mobil miring ke kiri,Suspensi rusak,"Cek shockbreaker sama per suspensi apa ada yang rusak. Ganti kalo rusak.","Kalau suspensi oke, cek tie rod atau ball joint apa longgar.","Bawa ke bengkel buat perbaiki suspensi."
motor,Mesin motor bunyi ketuk dari mesin,Klep longgar,"Cek celah klep. Atur celah klep sesuai spesifikasi.","Kalau celah klep normal, cek apa ada aus di rocker arm. Ganti kalo aus.","Kalau bunyi tetep ada, bawa ke bengkel buat cek dalam mesin."
mobil,Mesin mobil susah pindah gigi,Oli transmisi kurang,"Cek level oli transmisi. Tambahin oli kalo kurang.","Kalau oli cukup, cek apa oli transmisi kotor. Ganti oli transmisi.","Kalau masih susah, cek kopling atau sistem transmisi."
mobil,Mesin mobil giginya susah masuk,Kopling aus,"Cek apa kopling slip. Atur kabel kopling kalo longgar.","Kalau kopling slip parah, ganti pelat kopling.","Bawa ke bengkel buat perbaiki kopling."
motor,Lampu motor redup pas digas,Stator rusak,"Cek output stator pake multimeter. Kalo output rendah, stator rusak.","Ganti stator sama yang baru.","Kalau stator oke, cek regulator rectifier."
mobil,AC mobil dingin bentar doang,Kebocoran freon,"Cek tekanan freon. Kalo cepet turun, ada bocor. Cari trus tambal bocornya.","Kalau bocor gak ketemu, cek expansion valve apa macet.","Bawa ke bengkel AC buat perbaikan."
mobil,AC mobil cuma dingin sebentar,Kompresor lemah,"Cek apa kompresor muter bener. Kalo lemah, kompresor bermasalah.","Coba bersihin atau ganti filter dryer.","Kalau kompresor tetep lemah, ganti kompresor."
motor,Mesin motor mati pas idle,Setelan idle rendah,"Atur setelan idle di karburator. Naikin RPM idle sedikit.","Kalau setelan idle normal, cek apa ada bocor udara di intake.","Kalau masih mati, cek sensor idle atau ECU kalo ada."
mobil,Mesin mobil bunyi kletuk dari roda,Bearing roda aus,"Angkat mobil trus goyangin roda. Kalo goyang banget, bearing aus.","Ganti bearing roda sama yang baru.","Kalau bearing oke, cek komponen suspensi lain."
mobil,Mesin mobil bunyi krek dari roda,CV joint rusak,"Cek CV joint apa ada bunyi pas belok. Ganti CV joint kalo rusak.","Kalau CV joint oke, cek driveshaft apa bengkok.","Bawa ke bengkel buat cek lebih lanjut."
motor,Rantai motor bunyi decit,Rantai kering,"Cek apa rantai kering. Kasih pelumas rantai khusus.","Kalau udah dilumasin, cek apa ada gigi sprocket aus. Ganti sprocket kalo aus.","Kalau bunyi tetep ada, ganti rantai."
mobil,Lampu dashboard nyala tanda oli,Oli mesin kurang,"Cek level oli mesin. Tambahin oli kalo kurang.","Kalau oli cepet abis, cek apa ada bocor oli. Tambal kalo ketemu.","Bawa ke bengkel buat cek pompa oli atau sensor oli."
mobil,Lampu dashboard nyala tanda oli,Sensor oli rusak,"Cek apa level oli normal. Kalo iya, sensor oli mungkin rusak.","Ganti sensor oli sama yang baru.","Kalau lampu tetep nyala, cek wiring atau ECU."
motor,Mesin motor bunyi ngiung dari mesin,Bearing kruk as aus,"Cek apa bunyi dari kruk as. Kalo iya, bearing aus.","Bawa ke bengkel buat ganti bearing kruk as.","Kalau bunyi tetep ada, cek bagian dalam mesin lain."
mobil,Setir mobil berat,Sistem power steering bermasalah,"Cek level cairan power steering. Tambahin kalo kurang.","Kalau cairan cukup, cek pompa power steering apa jalan. Ganti pompa kalo rusak.","Kalau pompa oke, cek rack steering apa bocor."
mobil,Setir mobil susah dibelokin,Ban kurang angin,"Cek tekanan angin ban. Isi angin sesuai spesifikasi.","Kalau ban normal, cek alignment roda.","Kalau alignment oke, cek sistem power steering."
motor,Lampu motor mati total,Fuse putus,"Cek fuse lampu. Ganti fuse kalo putus.","Kalau fuse baru putus lagi, cek apa ada korslet di kelistrikan.","Bawa ke bengkel buat cek wiring."
mobil,AC mobil bunyi berisik,Bearing kompresor aus,"Dengerin apa bunyi dari kompresor. Kalo iya, bearing aus.","Ganti bearing kompresor atau kompresor sekalian.","Kalau bunyi tetep ada, cek pulley atau belt AC."
mobil,AC mobil berisik banget,Kipas blower kotor,"Cek kipas blower apa kotor atau ada benda asing. Bersihin kipas blower.","Kalau kipas bersih, cek motor blower apa aus. Ganti motor blower kalo perlu.","Kalau bunyi masih ada, cek ducting AC."
motor,Mesin motor susah distarter,Aki lemah,"Cek voltase aki. Kalo di bawah 12V, aki lemah.","Coba charge aki atau ganti aki kalo udah tua.","Kalau aki oke, cek starter motor atau pengapian."
mobil,Mesin mobil bunyi gluduk dari bawah,Shockbreaker rusak,"Cek shockbreaker apa ada bocor oli. Ganti shockbreaker kalo rusak.","Kalau shockbreaker oke, cek bushing suspensi apa aus. Ganti bushing kalo aus.","Kalau bunyi tetep ada, cek komponen suspensi lain."
mobil,Mesin mobil bunyi geduk dari kolong,Stabilizer bar longgar,"Cek stabilizer bar apa ada yang longgar. Kencengin baut stabilizer bar.","Kalau stabilizer bar oke, cek link stabilizer apa aus. Ganti link stabilizer kalo aus.","Bawa ke bengkel buat cek lebih lanjut."
motor,Rantai motor bunyi krek,Rantai kenceng banget,"Cek kekencangan rantai. Longgarin rantai sedikit kalo kenceng.","Kalau rantai normal, cek apa ada gigi sprocket patah. Ganti sprocket kalo patah.","Kalau bunyi tetep ada, ganti rantai."
mobil,Lampu dashboard nyala tanda suhu,Sistem pendingin bermasalah,"Cek level cairan pendingin. Tambahin kalo kurang.","Kalau level normal, cek apa ada bocor di sistem pendingin. Tambal kalo ketemu.","Kalau gak ada bocor, cek thermostat atau pompa air."
mobil,Lampu dashboard nyala tanda panas,Sensor suhu rusak,"Cek apa suhu mesin beneran panas. Kalo enggak, sensor suhu rusak.","Ganti sensor suhu sama yang baru.","Kalau lampu tetep nyala, cek wiring atau ECU."
motor,Mesin motor bunyi klotok dari knalpot,Knalpot bocor,"Cek knalpot apa ada bocor. Tambal bocor pake lem knalpot atau ganti knalpot.","Kalau knalpot oke, cek apa ada bocor di header knalpot. Tambal bocor.","Kalau bunyi tetep ada, cek setelan karburator atau injeksi."
mobil,Setir mobil goyang pas ngebut,Ban gak seimbang,"Cek apa ban aus gak rata. Seimbangin ban di bengkel.","Kalau ban seimbang, cek apa pelek rusak. Ganti pelek kalo rusak.","Kalau setir masih goyang, cek tie rod atau ball joint."
mobil,Setir mobil geter pas cepet,Suspensi aus,"Cek shockbreaker sama per suspensi apa aus. Ganti yang aus.","Kalau suspensi oke, cek bearing roda apa longgar. Ganti bearing kalo longgar.","Bawa ke bengkel buat cek alignment sama balancing."
motor,Lampu motor bunyi tik pas nyala,Bohlam longgar,"Cek apa bohlam lampu longgar. Kencengin bohlam atau ganti soket lampu.","Kalau bohlam kenceng, cek kabel lampu apa ada yang putus. Sambung kabel yang putus.","Kalau bunyi tetep ada, ganti bohlam lampu."
mobil,AC mobil gak nyala sama sekali,Fuse putus,"Cek fuse AC. Ganti fuse kalo putus.","Kalau fuse baru putus lagi, cek apa ada korslet di sistem AC.","Bawa ke bengkel AC buat cek wiring."
mobil,AC mobil mati total,Relay rusak,"Cek relay AC apa jalan. Ganti relay kalo rusak.","Kalau relay oke, cek switch AC apa berfungsi. Ganti switch kalo rusak.","Kalau masih gak nyala, cek kompresor AC."
motor,Mesin motor bunyi krek dari rem,Kampas rem aus,"Cek ketebalan kampas rem. Ganti kampas rem kalo aus.","Kalau kampas rem oke, cek cakram rem apa bengkok. Ratahin atau ganti cakram.","Kalau bunyi tetep ada, cek kaliper rem apa macet."
mobil,Mesin mobil bunyi aneh dari dashboard,Motor wiper rusak,"Cek apa bunyi dari motor wiper. Ganti motor wiper kalo rusak.","Kalau motor wiper oke, cek apa ada benda asing di dashboard. Bersihin benda asing.","Kalau bunyi tetep ada, cek komponen lain di dashboard."
mobil,Mesin mobil bunyi dari dashboard,Kipas blower AC rusak,"Cek apa bunyi dari kipas blower. Ganti kipas blower kalo rusak.","Kalau kipas blower oke, cek apa ada kotoran di kipas. Bersihin kotoran.","Kalau bunyi masih ada, cek motor blower."
motor,Rantai motor bunyi ngorok,Rantai kenceng banget,"Cek kekencangan rantai. Longgarin rantai sedikit.","Kalau rantai normal, cek apa ada gigi sprocket aus. Ganti sprocket.","Kalau bunyi tetep ada, kasih pelumas rantai khusus."
mobil,Lampu dashboard nyala tanda pintu,Pintu gak rapet,"Cek apa semua pintu tertutup rapet. Tutup pintu yang kurang rapet.","Kalau pintu udah rapet, cek switch pintu apa rusak. Ganti switch pintu.","Kalau lampu tetep nyala, cek wiring atau ECU."
mobil,Lampu dashboard nyala tanda pintu terbuka,Sensor pintu rusak,"Cek apa sensor pintu jalan. Ganti sensor pintu kalo rusak.","Kalau sensor oke, cek kabel sensor apa putus. Sambung kabel yang putus.","Bawa ke bengkel buat cek lebih lanjut."
motor,Mesin motor bunyi aneh dari shockbreaker,Shockbreaker aus,"Cek shockbreaker apa ada bocor oli. Ganti shockbreaker kalo aus.","Kalau shockbreaker oke, cek bushing shockbreaker apa aus. Ganti bushing.","Kalau bunyi tetep ada, cek rangka motor apa ada retak."
mobil,Rem mobil bunyi krek pas jalan,Kampas rem kotor,"Cek kampas rem apa ada kotoran. Bersihin kampas rem.","Kalau kampas bersih, cek cakram rem apa ada goresan. Ratahin cakram.","Kalau bunyi tetep ada, ganti kampas rem."
mobil,Rem mobil bunyi pas melaju,Kaliper rem macet,"Cek kaliper rem apa macet. Bersihin atau ganti kaliper.","Kalau kaliper oke, cek piston kaliper apa berfungsi. Ganti piston kalo macet.","Bawa ke bengkel buat perbaiki rem."
motor,Lampu motor bunyi tik pas hujan,Kabel lampu korslet,"Cek kabel lampu apa ada yang terkelupas. Isolasi kabel yang terkelupas.","Kalau kabel oke, cek soket lampu apa basah. Keringin soket lampu.","Kalau bunyi tetep ada, ganti bohlam lampu."
mobil,Mesin mobil bunyi ngorok pas jalan,Filter udara tersumbat,"Cek filter udara apa tersumbat. Bersihin atau ganti filter udara.","Kalau filter udara bersih, cek throttle body apa kotor. Bersihin throttle body.","Kalau bunyi tetep ada, cek sensor MAF atau MAP."
mobil,Mesin mobil bunyi aneh pas nyetir,Injektor bocor,"Cek apa ada bau bensin di mesin. Kalo iya, injektor bocor. Ganti injektor.","Kalau injektor oke, cek tekanan bensin. Atur tekanan kalo perlu.","Bawa ke bengkel buat cek sistem injeksi."
motor,Rantai motor bunyi kletuk pas nanjak,Rantai kendor,"Cek kekencangan rantai. Kencengin rantai kalo kendor.","Kalau rantai normal, cek apa ada gigi sprocket aus. Ganti sprocket.","Kalau bunyi tetep ada, ganti rantai."
mobil,Lampu dashboard nyala tanda rem,Level minyak rem rendah,"Cek level minyak rem. Tambahin minyak rem kalo rendah.","Kalau minyak rem cepet abis, cek apa ada bocor di sistem rem. Tambal bocor.","Bawa ke bengkel buat perbaiki sistem rem."
mobil,Lampu dashboard nyala tanda rem tangan,Sensor ABS rusak,"Cek apa lampu ABS nyala. Kalo iya, sensor ABS rusak. Ganti sensor ABS.","Kalau sensor ABS oke, cek kabel sensor apa putus. Sambung kabel yang putus.","Bawa ke bengkel buat diagnosis ABS."
motor,Mesin motor bunyi ngiung pas jalan,Bearing roda aus,"Cek bearing roda apa ada goyang berlebih. Ganti bearing kalo aus.","Kalau bearing oke, cek apa ada aus di as roda. Ganti as roda kalo aus.","Kalau bunyi tetep ada, cek komponen suspensi."
mobil,Mesin mobil bunyi krek dari ban,Ban kurang angin,"Cek tekanan angin ban. Isi angin sesuai spesifikasi.","Kalau tekanan ban normal, cek apa ada benda asing di ban. Keluarin benda asing.","Kalau bunyi tetep ada, cek bearing roda."
mobil,Mesin mobil bunyi dari ban,CV joint rusak,"Cek CV joint apa ada bunyi pas belok. Ganti CV joint kalo rusak.","Kalau CV joint oke, cek driveshaft apa bengkok. Ganti driveshaft kalo bengkok.","Bawa ke bengkel buat cek lebih lanjut."
motor,Lampu motor bunyi tik pas melaju,Bohlam goyang,"Cek apa bohlam lampu longgar. Kencengin bohlam atau ganti soket lampu.","Kalau bohlam kenceng, cek kabel lampu apa ada yang putus. Sambung kabel yang putus.","Kalau bunyi tetep ada, ganti bohlam lampu."
mobil,AC mobil bunyi pas mati,Relay AC rusak,"Cek relay AC apa jalan. Ganti relay kalo rusak.","Kalau relay oke, cek switch AC apa berfungsi. Ganti switch kalo rusak.","Kalau bunyi tetep ada, cek kompresor AC."
mobil,AC mobil bunyi pas dimatiin,Kipas blower macet,"Cek kipas blower apa macet. Bersihin atau ganti kipas blower.","Kalau kipas blower oke, cek motor blower apa aus. Ganti motor blower.","Kalau bunyi masih ada, cek ducting AC."
motor,Mesin motor bunyi krek pas digas,Rantai timing longgar,"Cek kekencangan rantai timing. Kencengin rantai timing.","Kalau rantai timing normal, cek tensioner rantai timing. Ganti tensioner kalo rusak.","Kalau bunyi tetep ada, bawa ke bengkel buat cek dalam."
mobil,Mesin mobil bunyi klotok pas jalan,Bearing roda aus,"Angkat mobil trus goyangin roda. Kalo goyang berlebih, bearing aus. Ganti bearing.","Kalau bearing oke, cek apa ada aus di hub roda. Ganti hub roda.","Kalau bunyi tetep ada, cek komponen suspensi."
mobil,Mesin mobil bunyi klotok pas nyetir,Shockbreaker rusak,"Cek shockbreaker apa ada bocor oli. Ganti shockbreaker kalo rusak.","Kalau shockbreaker oke, cek bushing suspensi apa aus. Ganti bushing.","Bawa ke bengkel buat cek suspensi."
motor,Rantai motor bunyi aneh dari rem,Kampas rem tipis,"Cek ketebalan kampas rem. Ganti kampas rem kalo tipis.","Kalau kampas rem oke, cek cakram rem apa bengkok. Ratahin atau ganti cakram.","Kalau bunyi tetep ada, cek kaliper rem."
mobil,Lampu dashboard nyala tanda aki,Aki lemah,"Cek voltase aki. Kalo di bawah 12.4V, aki lemah. Charge aki.","Kalau aki sering lemah, cek alternator apa jalan. Ganti alternator kalo rusak.","Kalau alternator oke, ganti aki sama yang baru."
mobil,Lampu dashboard nyala tanda baterai,Alternator rusak,"Cek output alternator pake multimeter. Harusnya 13.5-14.5V pas mesin nyala.","Kalau output rendah, ganti alternator.","Kalau alternator oke, cek kabel sama konektor alternator."
motor,Mesin motor bunyi ketuk pas jalan,Klep longgar,"Cek celah klep. Atur celah klep sesuai spesifikasi.","Kalau celah klep normal, cek apa ada aus di klep. Ganti klep kalo aus.","Kalau bunyi tetep ada, bawa ke bengkel buat cek lebih lanjut."
mobil,Setir mobil bunyi krek pas belok,Tie rod aus,"Cek tie rod apa ada aus. Ganti tie rod kalo aus.","Kalau tie rod oke, cek ball joint apa longgar. Ganti ball joint kalo longgar.","Kalau bunyi tetep ada, cek rack steering."
mobil,Setir mobil bunyi pas muter,Power steering pump rusak,"Cek level cairan power steering. Tambahin kalo kurang.","Kalau cairan cukup, cek pompa power steering apa jalan. Ganti pompa kalo rusak.","Kalau pompa oke, cek belt power steering apa kendor."
motor,Lampu motor bunyi tik pas ujan,Kabel lampu basah,"Keringin kabel lampu sama soket lampu. Pastiin gak ada air masuk.","Kalau kabel kering, cek apa ada korslet. Isolasi kabel yang terkelupas.","Kalau bunyi tetep ada, ganti bohlam lampu."
mobil,AC mobil bunyi berderit pas nyala,Belt AC kendor,"Cek kekencangan belt AC. Kencengin belt AC kalo kendor.","Kalau belt kenceng, cek pulley AC apa aus. Ganti pulley kalo aus.","Kalau bunyi tetep ada, cek bearing kompresor AC."
mobil,AC mobil bunyi aneh pas hidup,Kompresor AC rusak,"Dengerin apa bunyi dari kompresor. Kalo iya, kompresor rusak. Ganti kompresor.","Kalau kompresor oke, cek clutch kompresor apa jalan. Ganti clutch kalo rusak.","Bawa ke bengkel AC buat perbaikan."
motor,Mesin motor bunyi ngorok pas hujan,Karburator basah,"Keringin karburator trus pastiin gak ada air masuk.","Kalau karburator kering, cek filter udara apa basah. Keringin atau ganti filter udara.","Kalau bunyi tetep ada, cek sistem pengapian."
mobil,Mesin mobil bunyi aneh dari knalpot,Knalpot bocor,"Cek knalpot apa ada bocor. Tambal bocor pake lem knalpot atau ganti knalpot.","Kalau knalpot oke, cek catalytic converter apa tersumbat. Bersihin atau ganti catalytic converter.","Kalau bunyi tet bikin mobil, cek sistem exhaust lain."
mobil,Mesin mobil bunyi dari knalpot,Header knalpot retak,"Cek header knalpot apa ada retak. Tambal retak atau ganti header knalpot.","Kalau header oke, cek gasket knalpot apa aus. Ganti gasket kalo aus.","Bawa ke bengkel buat cek lebih lanjut."
motor,Rantai motor bunyi krek pas nyetir,Rantai kenceng banget,"Cek kekencangan rantai. Longgarin rantai sedikit.","Kalau rantai normal, cek apa ada gigi sprocket patah. Ganti sprocket.","Kalau bunyi tetep ada, ganti rantai."
mobil,Lampu dashboard nyala tanda check engine,Sensor MAF rusak,"Sambungin OBD scanner buat baca kode error. Kalo kode sensor MAF, ganti sensor.","Kalau gak ada OBD scanner, cek apa mesin tersendat. Bersihin sensor MAF.","Kalau masalah tetep ada, ganti sensor MAF."
mobil,Lampu dashboard nyala tanda mesin rusak,Katalis rusak,"Cek apa ada bau busuk dari knalpot. Kalo iya, katalis rusak. Ganti katalis.","Kalau gak ada bau, cek apa ada kode error katalis di ECU.","Bawa ke bengkel buat diagnosis sama perbaikan."
