vehicle_type,problem_description,diagnosis,first_aid,second_aid,third_aid
mobil,Wiper nggak gerak,Motor wiper mati,"Cek fuse wiper, apa putus? Ganti kalau iya.","Lihat motor wiper, apa nyala? Kalau mati, ganti yang baru.","Kalau fuse sama motor oke, cek saklar wiper-nya."
mobil,Klakson nggak bunyi,Kabel klakson putus,"Cek koneksi kabel klakson, apa lelet? Sambungkan kalau putus.","Tes klaksonnya langsung, ganti kalau udah rusak.","Kalau masih nggak bunyi, bawa ke bengkel buat cek kelistrikan."
mobil,Power window macet,Fuse putus,"Cek fuse power window di kotak fuse, ganti kalau jebol.","Lihat saklar power window, apa kotor? Bersihkan atau ganti.","Kalau masih macet, cek motor power window-nya."
mobil,Mesin bergetar hebat,Mounting mesin longgar,"Cek mounting mesin, apa ada yang goyang? Kencangkan bautnya.","Ganti karet mounting kalau udah getas atau sobek.","Kalau getaran nggak hilang, bawa ke bengkel buat cek mesin."
motor,Motor tersendat pas hujan,Filter udara basah,"Buka filter udara, keringkan kalau basah pake lap atau angin-angin.","Ganti filter udara kalau udah rusak atau sobek.","Kalau masih tersendat, cek karburator atau injeksi-nya."
motor,Starter nggak bunyi,Aki habis,"Cek tegangan aki, apa drop? Charge dulu pakai charger.","Bersihkan terminal aki dari karat, pastikan kencang.","Kalau aki nggak bisa nyala, ganti sama yang baru."
motor,Ban licin pas hujan,Alur ban tipis,"Cek alur ban, apa udah gundul? Ganti kalau tipis.","Kurangi tekanan ban sedikit biar lebih ngegrip di jalan basah.","Kalau masih licin, cek suspensi atau cara bawa motornya."
motor,Gigi susah masuk,Gearbox bermasalah,"Cek oli gearbox, apa kurang? Tambah kalau perlu.","Atur kabel kopling, mungkin terlalu kencang atau longgar.","Kalau masih susah, bawa ke bengkel buat cek gearbox."
motor,Lampu rem nggak nyala,Bohlam mati,"Cek bohlam lampu rem, apa putus? Ganti yang baru.","Lihat saklar rem, apa nyala pas rem ditekan? Ganti kalau rusak.","Kalau bohlam sama saklar oke, cek kabelnya."
[570 entri lainnya akan mengikuti pola serupa dengan variasi masalah, diagnosis, dan langkah pertolongan]
