VehicleType,Brand,Year,Mileage,Complaint,DamageLevel,ServiceType,Price,FirstAidSolution
Car,Suzuki,2008,118963,Kopling slip,High,Transmission Repair,820038,"1. Hindari perpindahan gigi mendadak
2. Kurangi beban kendaraan
3. Bawa ke bengkel"
Motorcycle,Honda,2012,22003,Suspensi keras,Low,Suspension Repair,234499,"1. Hindari jalan rusak
2. Kurangi kecepatan
3. Periksa shockbreaker"
Car,Toyota,2020,95749,Stir berat,High,Power Steering Repair,742529,"1. Periksa oli power steering
2. Hindari manuver tajam
3. Segera periksa ke bengkel"
Car,Toyota,2016,26489,Starter tidak berfungsi,High,Electrical Repair,831209,"1. Periksa aki
2. Coba nyalakan ulang
3. Panggil teknisi"
Car,Nissan,2009,162437,Mesin overheat,Low,Engine Repair,147115,"1. Matikan mesin
2. Tunggu mesin dingin
3. Periksa air radiator"
Motorcycle,Honda,2008,58519,Service rutin,Medium,General Checkup,569061,"1. Catat keluhan
2. Buat janji servis
3. Datang ke bengkel resmi"
Motorcycle,Suzuki,2014,73856,Oli bocor,Low,Oil Change,296153,"1. Matikan mesin
2. Periksa bagian bawah kendaraan
3. Segera bawa ke bengkel"
Car,Nissan,2017,81426,Rem bunyi,Medium,Brake Service,343778,"1. Kurangi kecepatan
2. Hindari pengereman mendadak
3. Periksa kampas rem"
Car,Daihatsu,2006,195648,Suspensi keras,High,Suspension Repair,760406,"1. Hindari jalan rusak
2. Kurangi kecepatan
3. Periksa shockbreaker"
Motorcycle,Kawasaki,2014,187052,Stir berat,Low,Power Steering Repair,191394,"1. Periksa oli power steering
2. Hindari manuver tajam
3. Segera periksa ke bengkel"
Car,Toyota,2014,5115,Radiator bocor,Medium,Cooling System Repair,331595,"1. Matikan mesin
2. Tambahkan air sementara
3. Tutup radiator dan bawa ke bengkel"
Motorcycle,Yamaha,2016,140109,Baterai soak,High,Battery Replacement,801671,"1. Gunakan jumper kabel
2. Nyalakan kendaraan
3. Isi ulang atau ganti baterai"
Motorcycle,Honda,2006,129973,Kopling slip,High,Transmission Repair,956156,"1. Hindari perpindahan gigi mendadak
2. Kurangi beban kendaraan
3. Bawa ke bengkel"
Car,Toyota,2023,161659,Radiator bocor,Medium,Cooling System Repair,427467,"1. Matikan mesin
2. Tambahkan air sementara
3. Tutup radiator dan bawa ke bengkel"
Motorcycle,Suzuki,2009,7338,Lampu mati,Low,Electrical Repair,150042,"1. Periksa saklar lampu
2. Ganti bohlam jika perlu
3. Bawa ke bengkel listrik"
Car,Honda,2022,88851,Radiator bocor,Low,Cooling System Repair,158060,"1. Matikan mesin
2. Tambahkan air sementara
3. Tutup radiator dan bawa ke bengkel"
Motorcycle,Kawasaki,2017,18852,Baterai soak,Medium,Battery Replacement,525495,"1. Gunakan jumper kabel
2. Nyalakan kendaraan
3. Isi ulang atau ganti baterai"
Car,Mitsubishi,2019,64358,Stir berat,Medium,Power Steering Repair,453534,"1. Periksa oli power steering
2. Hindari manuver tajam
3. Segera periksa ke bengkel"
Motorcycle,Suzuki,2015,60300,Radiator bocor,Low,Cooling System Repair,163640,"1. Matikan mesin
2. Tambahkan air sementara
3. Tutup radiator dan bawa ke bengkel"
Motorcycle,Honda,2020,175568,Lampu mati,Low,Electrical Repair,179210,"1. Periksa saklar lampu
2. Ganti bohlam jika perlu
3. Bawa ke bengkel listrik"
Motorcycle,Yamaha,2017,144684,Starter tidak berfungsi,Medium,Electrical Repair,444830,"1. Periksa aki
2. Coba nyalakan ulang
3. Panggil teknisi"
Motorcycle,Yamaha,2005,173086,Service rutin,Low,General Checkup,135260,"1. Catat keluhan
2. Buat janji servis
3. Datang ke bengkel resmi"
Car,Suzuki,2010,21017,Radiator bocor,Low,Cooling System Repair,252038,"1. Matikan mesin
2. Tambahkan air sementara
3. Tutup radiator dan bawa ke bengkel"
Motorcycle,Yamaha,2015,20485,Kopling slip,Medium,Transmission Repair,506199,"1. Hindari perpindahan gigi mendadak
2. Kurangi beban kendaraan
3. Bawa ke bengkel"
Car,Nissan,2007,161658,Suspensi keras,Medium,Suspension Repair,522469,"1. Hindari jalan rusak
2. Kurangi kecepatan
3. Periksa shockbreaker"
Motorcycle,Suzuki,2015,147543,Service rutin,Low,General Checkup,293296,"1. Catat keluhan
2. Buat janji servis
3. Datang ke bengkel resmi"
Motorcycle,Kawasaki,2008,67482,Lampu mati,Low,Electrical Repair,195595,"1. Periksa saklar lampu
2. Ganti bohlam jika perlu
3. Bawa ke bengkel listrik"
Motorcycle,Honda,2018,103205,Gigi transmisi macet,Low,Transmission Repair,231103,"1. Matikan mesin
2. Coba ganti gigi secara manual
3. Bawa ke bengkel transmisi"
Motorcycle,Yamaha,2022,178342,Rem bunyi,High,Brake Service,869717,"1. Kurangi kecepatan
2. Hindari pengereman mendadak
3. Periksa kampas rem"
Car,Daihatsu,2013,116988,Ban bocor,Low,Tire Service,229004,"1. Pinggirkan kendaraan
2. Gunakan ban serep
3. Bawa ke tukang tambal ban"
Car,Daihatsu,2007,65225,Mesin overheat,Low,Engine Repair,232708,"1. Matikan mesin
2. Tunggu mesin dingin
3. Periksa air radiator"
Motorcycle,Kawasaki,2012,145042,Baterai soak,Low,Battery Replacement,223593,"1. Gunakan jumper kabel
2. Nyalakan kendaraan
3. Isi ulang atau ganti baterai"
Motorcycle,Honda,2011,85506,Radiator bocor,Low,Cooling System Repair,223609,"1. Matikan mesin
2. Tambahkan air sementara
3. Tutup radiator dan bawa ke bengkel"
Car,Suzuki,2008,136997,Baterai soak,Medium,Battery Replacement,344335,"1. Gunakan jumper kabel
2. Nyalakan kendaraan
3. Isi ulang atau ganti baterai"
Motorcycle,Kawasaki,2007,117651,Suspensi keras,High,Suspension Repair,918624,"1. Hindari jalan rusak
2. Kurangi kecepatan
3. Periksa shockbreaker"
Motorcycle,Suzuki,2013,182922,Oli bocor,Medium,Oil Change,466499,"1. Matikan mesin
2. Periksa bagian bawah kendaraan
3. Segera bawa ke bengkel"
Motorcycle,Yamaha,2021,76601,Baterai soak,High,Battery Replacement,926889,"1. Gunakan jumper kabel
2. Nyalakan kendaraan
3. Isi ulang atau ganti baterai"
Car,Nissan,2021,149298,Lampu mati,Medium,Electrical Repair,341014,"1. Periksa saklar lampu
2. Ganti bohlam jika perlu
3. Bawa ke bengkel listrik"
Motorcycle,Suzuki,2014,122518,Ban bocor,Low,Tire Service,261516,"1. Pinggirkan kendaraan
2. Gunakan ban serep
3. Bawa ke tukang tambal ban"
Car,Mitsubishi,2015,60366,Lampu mati,Low,Electrical Repair,244611,"1. Periksa saklar lampu
2. Ganti bohlam jika perlu
3. Bawa ke bengkel listrik"
Motorcycle,Yamaha,2010,125858,AC tidak dingin,Medium,AC Repair,433791,"1. Matikan AC
2. Cek freon
3. Bawa ke bengkel AC terdekat"
Car,Nissan,2008,78892,Lampu mati,Low,Electrical Repair,198411,"1. Periksa saklar lampu
2. Ganti bohlam jika perlu
3. Bawa ke bengkel listrik"
Car,Honda,2010,97611,Lampu mati,Low,Electrical Repair,287152,"1. Periksa saklar lampu
2. Ganti bohlam jika perlu
3. Bawa ke bengkel listrik"
Motorcycle,Yamaha,2010,142010,Starter tidak berfungsi,Low,Electrical Repair,252782,"1. Periksa aki
2. Coba nyalakan ulang
3. Panggil teknisi"
Motorcycle,Suzuki,2018,134167,Baterai soak,Medium,Battery Replacement,574809,"1. Gunakan jumper kabel
2. Nyalakan kendaraan
3. Isi ulang atau ganti baterai"
Motorcycle,Suzuki,2016,39555,Service rutin,Medium,General Checkup,423869,"1. Catat keluhan
2. Buat janji servis
3. Datang ke bengkel resmi"
Car,Honda,2018,52961,AC tidak dingin,High,AC Repair,691521,"1. Matikan AC
2. Cek freon
3. Bawa ke bengkel AC terdekat"
Motorcycle,Kawasaki,2016,130300,Ban bocor,Medium,Tire Service,479994,"1. Pinggirkan kendaraan
2. Gunakan ban serep
3. Bawa ke tukang tambal ban"
Car,Nissan,2008,185864,Radiator bocor,Low,Cooling System Repair,157174,"1. Matikan mesin
2. Tambahkan air sementara
3. Tutup radiator dan bawa ke bengkel"
Motorcycle,Honda,2005,73848,Lampu mati,Low,Electrical Repair,170333,"1. Periksa saklar lampu
2. Ganti bohlam jika perlu
3. Bawa ke bengkel listrik"
Car,Mitsubishi,2006,147194,Radiator bocor,Low,Cooling System Repair,114249,"1. Matikan mesin
2. Tambahkan air sementara
3. Tutup radiator dan bawa ke bengkel"
Car,Nissan,2011,112918,Mesin overheat,Medium,Engine Repair,447646,"1. Matikan mesin
2. Tunggu mesin dingin
3. Periksa air radiator"
Motorcycle,Kawasaki,2005,157572,Mesin overheat,High,Engine Repair,858777,"1. Matikan mesin
2. Tunggu mesin dingin
3. Periksa air radiator"
Motorcycle,Kawasaki,2009,54141,Gigi transmisi macet,Medium,Transmission Repair,388544,"1. Matikan mesin
2. Coba ganti gigi secara manual
3. Bawa ke bengkel transmisi"
Car,Mitsubishi,2019,52489,Radiator bocor,Medium,Cooling System Repair,536700,"1. Matikan mesin
2. Tambahkan air sementara
3. Tutup radiator dan bawa ke bengkel"
Motorcycle,Yamaha,2010,18086,Suspensi keras,Low,Suspension Repair,180721,"1. Hindari jalan rusak
2. Kurangi kecepatan
3. Periksa shockbreaker"
Car,Suzuki,2012,56056,Radiator bocor,High,Cooling System Repair,933066,"1. Matikan mesin
2. Tambahkan air sementara
3. Tutup radiator dan bawa ke bengkel"
Car,Mitsubishi,2023,148916,Starter tidak berfungsi,High,Electrical Repair,804876,"1. Periksa aki
2. Coba nyalakan ulang
3. Panggil teknisi"
Motorcycle,Honda,2011,75776,Kopling slip,High,Transmission Repair,995190,"1. Hindari perpindahan gigi mendadak
2. Kurangi beban kendaraan
3. Bawa ke bengkel"
Motorcycle,Suzuki,2014,52671,Oli bocor,Medium,Oil Change,469010,"1. Matikan mesin
2. Periksa bagian bawah kendaraan
3. Segera bawa ke bengkel"
Motorcycle,Suzuki,2013,96888,Starter tidak berfungsi,Medium,Electrical Repair,503316,"1. Periksa aki
2. Coba nyalakan ulang
3. Panggil teknisi"
Car,Mitsubishi,2005,171533,Oli bocor,Medium,Oil Change,498867,"1. Matikan mesin
2. Periksa bagian bawah kendaraan
3. Segera bawa ke bengkel"
Car,Toyota,2013,171209,Starter tidak berfungsi,Low,Electrical Repair,275590,"1. Periksa aki
2. Coba nyalakan ulang
3. Panggil teknisi"
Motorcycle,Suzuki,2016,44103,Kopling slip,High,Transmission Repair,669296,"1. Hindari perpindahan gigi mendadak
2. Kurangi beban kendaraan
3. Bawa ke bengkel"
Motorcycle,Honda,2013,41183,Stir berat,High,Power Steering Repair,633730,"1. Periksa oli power steering
2. Hindari manuver tajam
3. Segera periksa ke bengkel"
Car,Honda,2011,25138,Rem bunyi,Medium,Brake Service,406878,"1. Kurangi kecepatan
2. Hindari pengereman mendadak
3. Periksa kampas rem"
Motorcycle,Suzuki,2006,193116,Starter tidak berfungsi,Medium,Electrical Repair,505684,"1. Periksa aki
2. Coba nyalakan ulang
3. Panggil teknisi"
Motorcycle,Suzuki,2021,45399,AC tidak dingin,High,AC Repair,837601,"1. Matikan AC
2. Cek freon
3. Bawa ke bengkel AC terdekat"
Motorcycle,Yamaha,2018,131736,Oli bocor,Low,Oil Change,175699,"1. Matikan mesin
2. Periksa bagian bawah kendaraan
3. Segera bawa ke bengkel"
Motorcycle,Kawasaki,2006,50436,Mesin overheat,Medium,Engine Repair,460601,"1. Matikan mesin
2. Tunggu mesin dingin
3. Periksa air radiator"
Car,Nissan,2021,56455,Starter tidak berfungsi,Low,Electrical Repair,272820,"1. Periksa aki
2. Coba nyalakan ulang
3. Panggil teknisi"
Motorcycle,Yamaha,2009,84955,Baterai soak,Low,Battery Replacement,176698,"1. Gunakan jumper kabel
2. Nyalakan kendaraan
3. Isi ulang atau ganti baterai"
Motorcycle,Kawasaki,2022,185184,Ban bocor,Low,Tire Service,115096,"1. Pinggirkan kendaraan
2. Gunakan ban serep
3. Bawa ke tukang tambal ban"
Motorcycle,Suzuki,2010,101281,Service rutin,Low,General Checkup,247009,"1. Catat keluhan
2. Buat janji servis
3. Datang ke bengkel resmi"
Motorcycle,Honda,2015,163478,AC tidak dingin,Low,AC Repair,181245,"1. Matikan AC
2. Cek freon
3. Bawa ke bengkel AC terdekat"
Car,Nissan,2008,196032,Suspensi keras,Low,Suspension Repair,191230,"1. Hindari jalan rusak
2. Kurangi kecepatan
3. Periksa shockbreaker"
Motorcycle,Honda,2022,45071,Ban bocor,Medium,Tire Service,354218,"1. Pinggirkan kendaraan
2. Gunakan ban serep
3. Bawa ke tukang tambal ban"
Motorcycle,Honda,2008,148649,Oli bocor,Low,Oil Change,212815,"1. Matikan mesin
2. Periksa bagian bawah kendaraan
3. Segera bawa ke bengkel"
Car,Toyota,2015,53817,Mesin overheat,Low,Engine Repair,295706,"1. Matikan mesin
2. Tunggu mesin dingin
3. Periksa air radiator"
Car,Honda,2013,100322,Service rutin,Medium,General Checkup,304734,"1. Catat keluhan
2. Buat janji servis
3. Datang ke bengkel resmi"
Car,Suzuki,2023,52699,Starter tidak berfungsi,High,Electrical Repair,796082,"1. Periksa aki
2. Coba nyalakan ulang
3. Panggil teknisi"
Motorcycle,Suzuki,2022,90464,Radiator bocor,High,Cooling System Repair,733551,"1. Matikan mesin
2. Tambahkan air sementara
3. Tutup radiator dan bawa ke bengkel"
Car,Suzuki,2005,112889,Stir berat,Low,Power Steering Repair,274970,"1. Periksa oli power steering
2. Hindari manuver tajam
3. Segera periksa ke bengkel"
Car,Toyota,2016,59201,Stir berat,Low,Power Steering Repair,277331,"1. Periksa oli power steering
2. Hindari manuver tajam
3. Segera periksa ke bengkel"
Car,Mitsubishi,2023,111302,Suspensi keras,Low,Suspension Repair,190952,"1. Hindari jalan rusak
2. Kurangi kecepatan
3. Periksa shockbreaker"
Motorcycle,Kawasaki,2005,115058,Lampu mati,Medium,Electrical Repair,329452,"1. Periksa saklar lampu
2. Ganti bohlam jika perlu
3. Bawa ke bengkel listrik"
Motorcycle,Suzuki,2007,19177,Suspensi keras,Low,Suspension Repair,204675,"1. Hindari jalan rusak
2. Kurangi kecepatan
3. Periksa shockbreaker"
Motorcycle,Yamaha,2007,50148,Ban bocor,Low,Tire Service,131773,"1. Pinggirkan kendaraan
2. Gunakan ban serep
3. Bawa ke tukang tambal ban"
Car,Honda,2012,6963,Baterai soak,Low,Battery Replacement,123077,"1. Gunakan jumper kabel
2. Nyalakan kendaraan
3. Isi ulang atau ganti baterai"
Car,Toyota,2012,82960,Service rutin,Medium,General Checkup,591484,"1. Catat keluhan
2. Buat janji servis
3. Datang ke bengkel resmi"
Car,Mitsubishi,2005,19716,Mesin overheat,Low,Engine Repair,284792,"1. Matikan mesin
2. Tunggu mesin dingin
3. Periksa air radiator"
Motorcycle,Yamaha,2007,94786,Oli bocor,High,Oil Change,969747,"1. Matikan mesin
2. Periksa bagian bawah kendaraan
3. Segera bawa ke bengkel"
Motorcycle,Yamaha,2020,88081,Baterai soak,Medium,Battery Replacement,414053,"1. Gunakan jumper kabel
2. Nyalakan kendaraan
3. Isi ulang atau ganti baterai"
Car,Nissan,2023,107886,Ban bocor,High,Tire Service,800197,"1. Pinggirkan kendaraan
2. Gunakan ban serep
3. Bawa ke tukang tambal ban"
Car,Nissan,2005,36954,Stir berat,Medium,Power Steering Repair,378337,"1. Periksa oli power steering
2. Hindari manuver tajam
3. Segera periksa ke bengkel"
Car,Toyota,2013,101224,Kopling slip,Low,Transmission Repair,161135,"1. Hindari perpindahan gigi mendadak
2. Kurangi beban kendaraan
3. Bawa ke bengkel"
Motorcycle,Honda,2010,120126,AC tidak dingin,Medium,AC Repair,422494,"1. Matikan AC
2. Cek freon
3. Bawa ke bengkel AC terdekat"
Car,Toyota,2017,162001,Baterai soak,Medium,Battery Replacement,433432,"1. Gunakan jumper kabel
2. Nyalakan kendaraan
3. Isi ulang atau ganti baterai"
Motorcycle,Yamaha,2005,136109,Stir berat,Medium,Power Steering Repair,593295,"1. Periksa oli power steering
2. Hindari manuver tajam
3. Segera periksa ke bengkel"
Motorcycle,Kawasaki,2015,90394,Stir berat,High,Power Steering Repair,732175,"1. Periksa oli power steering
2. Hindari manuver tajam
3. Segera periksa ke bengkel"
Motorcycle,Honda,2019,10553,Gigi transmisi macet,Low,Transmission Repair,125363,"1. Matikan mesin
2. Coba ganti gigi secara manual
3. Bawa ke bengkel transmisi"
Car,Honda,2007,19017,Kopling slip,Medium,Transmission Repair,451709,"1. Hindari perpindahan gigi mendadak
2. Kurangi beban kendaraan
3. Bawa ke bengkel"
Motorcycle,Kawasaki,2018,177040,Kopling slip,Medium,Transmission Repair,482519,"1. Hindari perpindahan gigi mendadak
2. Kurangi beban kendaraan
3. Bawa ke bengkel"
Motorcycle,Suzuki,2007,44936,Ban bocor,High,Tire Service,854611,"1. Pinggirkan kendaraan
2. Gunakan ban serep
3. Bawa ke tukang tambal ban"
Car,Nissan,2007,46003,Stir berat,Medium,Power Steering Repair,325294,"1. Periksa oli power steering
2. Hindari manuver tajam
3. Segera periksa ke bengkel"
Car,Toyota,2016,50142,Mesin overheat,Low,Engine Repair,273599,"1. Matikan mesin
2. Tunggu mesin dingin
3. Periksa air radiator"
Motorcycle,Honda,2009,121724,Lampu mati,Low,Electrical Repair,190015,"1. Periksa saklar lampu
2. Ganti bohlam jika perlu
3. Bawa ke bengkel listrik"
Motorcycle,Honda,2014,182351,Oli bocor,High,Oil Change,975517,"1. Matikan mesin
2. Periksa bagian bawah kendaraan
3. Segera bawa ke bengkel"
Car,Daihatsu,2016,82592,Kopling slip,High,Transmission Repair,890860,"1. Hindari perpindahan gigi mendadak
2. Kurangi beban kendaraan
3. Bawa ke bengkel"
Motorcycle,Honda,2010,63215,Radiator bocor,Low,Cooling System Repair,145301,"1. Matikan mesin
2. Tambahkan air sementara
3. Tutup radiator dan bawa ke bengkel"
Car,Mitsubishi,2015,11649,AC tidak dingin,Medium,AC Repair,477857,"1. Matikan AC
2. Cek freon
3. Bawa ke bengkel AC terdekat"
Motorcycle,Honda,2013,63926,Oli bocor,High,Oil Change,647359,"1. Matikan mesin
2. Periksa bagian bawah kendaraan
3. Segera bawa ke bengkel"
Car,Daihatsu,2016,198493,Stir berat,High,Power Steering Repair,636117,"1. Periksa oli power steering
2. Hindari manuver tajam
3. Segera periksa ke bengkel"
Motorcycle,Honda,2005,34017,AC tidak dingin,High,AC Repair,761296,"1. Matikan AC
2. Cek freon
3. Bawa ke bengkel AC terdekat"
Car,Mitsubishi,2016,46042,Suspensi keras,Medium,Suspension Repair,401093,"1. Hindari jalan rusak
2. Kurangi kecepatan
3. Periksa shockbreaker"
Car,Mitsubishi,2020,198714,Oli bocor,Medium,Oil Change,382612,"1. Matikan mesin
2. Periksa bagian bawah kendaraan
3. Segera bawa ke bengkel"
Motorcycle,Yamaha,2017,165128,Oli bocor,High,Oil Change,787329,"1. Matikan mesin
2. Periksa bagian bawah kendaraan
3. Segera bawa ke bengkel"
Motorcycle,Kawasaki,2012,163134,Service rutin,Medium,General Checkup,557213,"1. Catat keluhan
2. Buat janji servis
3. Datang ke bengkel resmi"
Motorcycle,Kawasaki,2016,111196,Starter tidak berfungsi,Medium,Electrical Repair,490515,"1. Periksa aki
2. Coba nyalakan ulang
3. Panggil teknisi"
Car,Nissan,2019,146340,Stir berat,Low,Power Steering Repair,220455,"1. Periksa oli power steering
2. Hindari manuver tajam
3. Segera periksa ke bengkel"
Motorcycle,Kawasaki,2023,142888,Lampu mati,Low,Electrical Repair,202935,"1. Periksa saklar lampu
2. Ganti bohlam jika perlu
3. Bawa ke bengkel listrik"
Motorcycle,Suzuki,2023,98676,Service rutin,Low,General Checkup,165577,"1. Catat keluhan
2. Buat janji servis
3. Datang ke bengkel resmi"
Car,Nissan,2012,58829,Gigi transmisi macet,Medium,Transmission Repair,490290,"1. Matikan mesin
2. Coba ganti gigi secara manual
3. Bawa ke bengkel transmisi"
Motorcycle,Suzuki,2014,60466,Mesin overheat,Low,Engine Repair,126778,"1. Matikan mesin
2. Tunggu mesin dingin
3. Periksa air radiator"
Car,Daihatsu,2023,40204,Suspensi keras,Medium,Suspension Repair,382319,"1. Hindari jalan rusak
2. Kurangi kecepatan
3. Periksa shockbreaker"
Motorcycle,Honda,2021,154798,Suspensi keras,Medium,Suspension Repair,570577,"1. Hindari jalan rusak
2. Kurangi kecepatan
3. Periksa shockbreaker"
Car,Mitsubishi,2012,146872,Starter tidak berfungsi,High,Electrical Repair,831319,"1. Periksa aki
2. Coba nyalakan ulang
3. Panggil teknisi"
Motorcycle,Yamaha,2021,86882,Kopling slip,Low,Transmission Repair,209593,"1. Hindari perpindahan gigi mendadak
2. Kurangi beban kendaraan
3. Bawa ke bengkel"
Car,Suzuki,2013,47021,Gigi transmisi macet,Medium,Transmission Repair,343535,"1. Matikan mesin
2. Coba ganti gigi secara manual
3. Bawa ke bengkel transmisi"
Car,Nissan,2019,127282,Kopling slip,Low,Transmission Repair,201889,"1. Hindari perpindahan gigi mendadak
2. Kurangi beban kendaraan
3. Bawa ke bengkel"
Motorcycle,Yamaha,2012,151115,Oli bocor,Medium,Oil Change,599543,"1. Matikan mesin
2. Periksa bagian bawah kendaraan
3. Segera bawa ke bengkel"
Car,Toyota,2008,33568,Radiator bocor,Medium,Cooling System Repair,330956,"1. Matikan mesin
2. Tambahkan air sementara
3. Tutup radiator dan bawa ke bengkel"
Car,Mitsubishi,2023,32797,Suspensi keras,Low,Suspension Repair,163903,"1. Hindari jalan rusak
2. Kurangi kecepatan
3. Periksa shockbreaker"
Car,Toyota,2012,50987,Suspensi keras,Low,Suspension Repair,211044,"1. Hindari jalan rusak
2. Kurangi kecepatan
3. Periksa shockbreaker"
Car,Daihatsu,2012,50181,Suspensi keras,Medium,Suspension Repair,504803,"1. Hindari jalan rusak
2. Kurangi kecepatan
3. Periksa shockbreaker"
Motorcycle,Yamaha,2021,55976,Service rutin,Medium,General Checkup,549912,"1. Catat keluhan
2. Buat janji servis
3. Datang ke bengkel resmi"
Motorcycle,Suzuki,2006,49575,Lampu mati,Medium,Electrical Repair,420761,"1. Periksa saklar lampu
2. Ganti bohlam jika perlu
3. Bawa ke bengkel listrik"
Motorcycle,Kawasaki,2020,57713,Suspensi keras,High,Suspension Repair,685882,"1. Hindari jalan rusak
2. Kurangi kecepatan
3. Periksa shockbreaker"
